,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_3292,ABUW_3292,3325855,3326391,-,hypothetical protein,Function unknown,,,CP008706.1,AKA32988.1,ABUW_RS15990,NZ_CP008706.1,
ABUW_3293,ptsO,3326394,3326663,-,phosphocarrier protein HPr,Carbohydrate transport and metabolism,,,CP008706.1,AKA32989.1,ABUW_RS15995,NZ_CP008706.1,
ABUW_3294,ABUW_3294,3326660,3327511,-,protein in PtsN-ptsO intergenic region,Function unknown,,,CP008706.1,AKA32990.1,ABUW_RS16000,NZ_CP008706.1,
ABUW_3295,panC,3327534,3328382,-,pantoate--beta-alanine ligase,Coenzyme transport and metabolism,,,CP008706.1,AKA32991.1,ABUW_RS16005,NZ_CP008706.1,
ABUW_3296,panB,3328386,3329195,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,,,CP008706.1,AKA32992.1,ABUW_RS16010,NZ_CP008706.1,
ABUW_3297,folK,3329241,3329723,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Coenzyme transport and metabolism,,,CP008706.1,AKA32993.1,ABUW_RS16015,NZ_CP008706.1,
ABUW_3298,pcnB,3329720,3331183,-,poly(A) polymerase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA32994.1,ABUW_RS16020,NZ_CP008706.1,
ABUW_3299,ABUW_3299,3331308,3331718,-,DNA uptake protein,"Replication, recombination and repair",,,CP008706.1,AKA32995.1,ABUW_RS16025,NZ_CP008706.1,
ABUW_3300,ABUW_3300,3331687,3332493,-,MazG family protein,Function unknown,,,CP008706.1,AKA32996.1,ABUW_RS16030,NZ_CP008706.1,
ABUW_3301,ABUW_3301,3332605,3333378,+,short chain dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA32997.1,ABUW_RS16035,NZ_CP008706.1,
ABUW_3302,relA,3333423,3335729,-,GTP pyrophosphokinase (ppGpp synthetase I),Transcription,,,CP008706.1,AKA32998.1,ABUW_RS16040,NZ_CP008706.1,
ABUW_3303,rumA,3335760,3337151,-,23S rRNA (uracil-5-)-methyltransferase RumA,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA32999.1,ABUW_RS16045,NZ_CP008706.1,
ABUW_3304,ABUW_3304,3337161,3337979,-,hypothetical protein,"Replication, recombination and repair",,,CP008706.1,AKA33000.1,ABUW_RS16050,NZ_CP008706.1,
ABUW_3305,cysM,3338002,3338916,-,cysteine synthase B,Amino acid transport and metabolism,,,CP008706.1,AKA33001.1,ABUW_RS16055,NZ_CP008706.1,
ABUW_3306,ABUW_3306,3339089,3341896,+,multi-sensor hybrid histidine kinase,Signal transduction mechanisms,,,CP008706.1,AKA33002.1,ABUW_RS16060,NZ_CP008706.1,
ABUW_3307,ABUW_3307,3341993,3342781,+,enoyl-CoA hydratase,Lipid transport and metabolism,,,CP008706.1,AKA33003.1,ABUW_RS16065,NZ_CP008706.1,
ABUW_3308,ABUW_3308,3342792,3343658,+,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA33004.1,ABUW_RS16070,NZ_CP008706.1,
ABUW_3309,hyi,3343675,3344469,+,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,,,CP008706.1,AKA33005.1,ABUW_RS16075,NZ_CP008706.1,
ABUW_3310,ABUW_3310,3344551,3344952,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33006.1,ABUW_RS16080,NZ_CP008706.1,
ABUW_3311,ABUW_3311,3345204,3346025,+,short chain dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA33007.1,ABUW_RS16085,NZ_CP008706.1,
ABUW_3312,pntB,3346077,3347531,-,NAD(P) transhydrogenase subunit beta,Energy production and conversion,,,CP008706.1,AKA33008.1,ABUW_RS16090,NZ_CP008706.1,
ABUW_3313,pntA2,3347544,3347858,-,NAD(P) transhydrogenase subunit alpha,Energy production and conversion,,,CP008706.1,AKA33009.1,ABUW_RS16095,NZ_CP008706.1,
ABUW_3314,pntA1,3347870,3348997,-,NAD(P) transhydrogenase subunit alpha,Energy production and conversion,,,CP008706.1,AKA33010.1,ABUW_RS16100,NZ_CP008706.1,
ABUW_3315,ABUW_3315,3349237,3350163,+,integral membrane protein%2C DUF6,Amino acid transport and metabolism,,,CP008706.1,AKA33011.1,ABUW_RS16105,NZ_CP008706.1,
ABUW_3316,ABUW_3316,3350231,3350638,+,ribonuclease,"Translation, ribosomal structure and biogenesis",,SoxR,CP008706.1,AKA33012.1,ABUW_RS16110,NZ_CP008706.1,
ABUW_3317,ABUW_3317,3350657,3351841,+,major facilitator superfamily MFS_1,Amino acid transport and metabolism,,SoxR,CP008706.1,AKA33013.1,ABUW_RS16115,NZ_CP008706.1,
ABUW_3318,ABUW_3318,3352203,3352886,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33014.1,ABUW_RS16120,NZ_CP008706.1,
ABUW_3319,ABUW_3319,3352898,3354043,+,transcriptional regulator%2C HTH_3 family,Transcription,,,CP008706.1,AKA33015.1,ABUW_RS16125,NZ_CP008706.1,
ABUW_3320,copB,3354427,3355329,-,copper resistance protein B,Inorganic ion transport and metabolism,,,CP008706.1,AKA33016.1,ABUW_RS16130,NZ_CP008706.1,
ABUW_3321,copA,3355316,3357433,-,copper resistance protein A,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA33017.1,ABUW_RS16135,NZ_CP008706.1,
ABUW_3322,ABUW_3322,3357517,3357882,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33018.1,ABUW_RS16140,NZ_CP008706.1,
ABUW_3323,copR,3358032,3358715,+,transcriptional activator protein CusR,Transcription,,,CP008706.1,AKA33019.1,ABUW_RS16145,NZ_CP008706.1,
ABUW_3324,copS,3358705,3360081,+,sensor kinase CusS,Signal transduction mechanisms,,,CP008706.1,AKA33020.1,ABUW_RS16150,NZ_CP008706.1,
ABUW_3325,actP1,3360159,3362504,-,copper-translocating P-type ATPase,Inorganic ion transport and metabolism,,,CP008706.1,AKA33021.1,ABUW_RS16155,NZ_CP008706.1,
ABUW_3326,copC,3362788,3363168,+,copper resistance protein CopC,Function unknown,,,CP008706.1,AKA33022.1,ABUW_RS16160,NZ_CP008706.1,
ABUW_3327,copD,3363235,3364116,+,copper resistance D,Inorganic ion transport and metabolism,,,CP008706.1,AKA33023.1,ABUW_RS16165,NZ_CP008706.1,
ABUW_3328,ABUW_3328,3364317,3365345,-,phage/plasmid-related protein,Function unknown,,,CP008706.1,AKA33024.1,ABUW_RS16170,NZ_CP008706.1,
ABUW_3329,ABUW_3329,3365422,3365715,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33025.1,ABUW_RS16175,NZ_CP008706.1,
ABUW_3330,ABUW_3330,3365795,3366208,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33026.1,ABUW_RS16180,NZ_CP008706.1,
ABUW_3331,ABUW_3331,3366235,3366846,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33027.1,ABUW_RS16185,NZ_CP008706.1,
ABUW_3332,ABUW_3332,3366939,3367187,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33028.1,ABUW_RS16190,NZ_CP008706.1,
ABUW_3333,ABUW_3333,3367191,3368270,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33029.1,ABUW_RS16195,NZ_CP008706.1,
ABUW_3334,ABUW_3334,3368278,3368427,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33030.1,,,
ABUW_3335,ABUW_3335,3368532,3368792,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33031.1,ABUW_RS16200,NZ_CP008706.1,
ABUW_3336,ABUW_3336,3369333,3369548,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33032.1,ABUW_RS16205,NZ_CP008706.1,
ABUW_3337,ABUW_3337,3369908,3371131,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33033.1,ABUW_RS16210,NZ_CP008706.1,
ABUW_3338,ABUW_3338,3371851,3373092,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33034.1,ABUW_RS16215,NZ_CP008706.1,
ABUW_3339,ABUW_3339,3373094,3374074,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33035.1,ABUW_RS16220,NZ_CP008706.1,
ABUW_3340,ABUW_3340,3374093,3374365,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33036.1,ABUW_RS16225,NZ_CP008706.1,
ABUW_3341,ABUW_3341,3374349,3375497,-,chorismate mutase family protein,"Replication, recombination and repair",,,CP008706.1,AKA33037.1,ABUW_RS16230,NZ_CP008706.1,
ABUW_3342,dusA,3375632,3376648,+,tRNA-dihydrouridine synthase A,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33038.1,ABUW_RS16235,NZ_CP008706.1,
ABUW_3343,ABUW_3343,3376984,3377493,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33039.1,ABUW_RS16240,NZ_CP008706.1,
ABUW_3344,ABUW_3344,3377501,3378400,-,transcriptional Regulator%2C LysR family,Transcription,,,CP008706.1,AKA33040.1,ABUW_RS16245,NZ_CP008706.1,
ABUW_3345,ABUW_3345,3378683,3379444,-,ThiF family protein,Coenzyme transport and metabolism,,,CP008706.1,AKA33041.1,ABUW_RS16250,NZ_CP008706.1,
ABUW_3346,acnA,3379744,3382500,-,aconitate hydratase 1,Energy production and conversion,,ABUW_1645,CP008706.1,AKA33042.1,ABUW_RS16255,NZ_CP008706.1,
ABUW_3347,ABUW_3347,3382625,3383437,-,hydrolase%2C TatD family,"Replication, recombination and repair",,,CP008706.1,AKA33043.1,ABUW_RS16260,NZ_CP008706.1,
ABUW_3348,ABUW_3348,3383437,3384378,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33044.1,ABUW_RS16265,NZ_CP008706.1,
ABUW_3349,ABUW_3349,3384466,3385308,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33045.1,ABUW_RS16270,NZ_CP008706.1,
ABUW_3350,prfC,3385378,3386970,-,peptide chain release factor 3,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33046.1,ABUW_RS16275,NZ_CP008706.1,
ABUW_3351,ABUW_3351,3387175,3388038,-,heme oxygenase-like protein,Function unknown,,ABUW_1645,CP008706.1,AKA33047.1,ABUW_RS16280,NZ_CP008706.1,
ABUW_3352,ABUW_3352,3388354,3388941,+,putative transcriptional regulator,Transcription,,ABUW_1645,CP008706.1,AKA33048.1,ABUW_RS16285,NZ_CP008706.1,
ABUW_3353,ABUW_3353,3389159,3389722,-,putative transcriptional regulator,Transcription,,,CP008706.1,AKA33049.1,ABUW_RS16290,NZ_CP008706.1,
ABUW_3354,ABUW_3354,3390327,3392381,-,ggdef domain/eal domain protein,Signal transduction mechanisms,,,CP008706.1,AKA33050.1,ABUW_RS16295,NZ_CP008706.1,
ABUW_3355,ilvC,3392712,3393728,-,ketol-acid reductoisomerase,Coenzyme transport and metabolism,,,CP008706.1,AKA33051.1,ABUW_RS16300,NZ_CP008706.1,
ABUW_3356,ilvN,3393761,3394252,-,acetolactate synthase%2C small subunit,Amino acid transport and metabolism,,,CP008706.1,AKA33052.1,ABUW_RS16305,NZ_CP008706.1,
ABUW_3357,ilvB,3394252,3395976,-,acetolactate synthase%2C large subunit,Coenzyme transport and metabolism,,,CP008706.1,AKA33053.1,ABUW_RS16310,NZ_CP008706.1,
ABUW_3358,ABUW_3358,3396481,3396816,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33054.1,ABUW_RS16315,NZ_CP008706.1,
ABUW_3359,leuS,3397003,3399627,+,leucyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33055.1,ABUW_RS16320,NZ_CP008706.1,
ABUW_3360,ABUW_3360,3399655,3400164,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33056.1,ABUW_RS16325,NZ_CP008706.1,
ABUW_3361,holA,3400184,3401173,+,DNA polymerase III%2C delta subunit,"Replication, recombination and repair",,,CP008706.1,AKA33057.1,ABUW_RS16330,NZ_CP008706.1,
ABUW_3362,ABUW_3362,3401281,3402618,+,efflux transporter%2C RND family%2C MFP subunit,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33058.1,ABUW_RS16335,NZ_CP008706.1,
ABUW_3363,macB,3402621,3404615,+,macrolide export ATP-binding/permease protein MacB,Defense mechanisms,,,CP008706.1,AKA33059.1,ABUW_RS16340,NZ_CP008706.1,
ABUW_3364,ABUW_3364,3404626,3406032,+,RND efflux system%2C outer membrane lipoprotein%2C NodT family,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33060.1,ABUW_RS16345,NZ_CP008706.1,
ABUW_3365,fabI,3406102,3406905,-,NADH-dependent enoyl-ACP reductase,Lipid transport and metabolism,,,CP008706.1,AKA33061.1,ABUW_RS16350,NZ_CP008706.1,
ABUW_3366,ABUW_3366,3407042,3407773,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33062.1,ABUW_RS16355,NZ_CP008706.1,
ABUW_3367,orn,3407929,3408495,-,oligoribonuclease Orn,RNA processing and modification,,,CP008706.1,AKA33063.1,ABUW_RS16360,NZ_CP008706.1,
ABUW_3368,engC,3408621,3409679,+,GTPase,Function unknown,,,CP008706.1,AKA33064.1,ABUW_RS16365,NZ_CP008706.1,
ABUW_3369,ABUW_3369,3409776,3410192,+,rhodanese domain protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA33065.1,ABUW_RS16370,NZ_CP008706.1,
ABUW_3370,grxC,3410204,3410461,+,glutaredoxin 3,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33066.1,ABUW_RS16375,NZ_CP008706.1,
ABUW_3371,secB,3410489,3410947,+,protein-export chaperone SecB,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33067.1,ABUW_RS16380,NZ_CP008706.1,
ABUW_3372,ABUW_3372,3411015,3411689,-,4'-phosphopantetheinyl transferase,Coenzyme transport and metabolism,,,CP008706.1,AKA33068.1,ABUW_RS16385,NZ_CP008706.1,
ABUW_3373,ABUW_3373,3411789,3413198,-,small GTP-binding protein,Function unknown,,,CP008706.1,AKA33069.1,ABUW_RS16390,NZ_CP008706.1,
ABUW_3374,ABUW_3374,3413386,3414531,-,outer membrane assembly lipoprotein YfgL,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33070.1,ABUW_RS16395,NZ_CP008706.1,
ABUW_3375,ABUW_3375,3414531,3415229,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33071.1,ABUW_RS16400,NZ_CP008706.1,
ABUW_3376,hisS,3415258,3416550,-,histidyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33072.1,ABUW_RS16405,NZ_CP008706.1,
ABUW_3377,ispG,3416547,3417662,-,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Lipid transport and metabolism,,,CP008706.1,AKA33073.1,ABUW_RS16410,NZ_CP008706.1,
ABUW_3378,ABUW_3378,3417684,3418475,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33074.1,ABUW_RS16415,NZ_CP008706.1,
ABUW_3379,pilF,3418466,3419266,-,type IV pilus biogenesis/stability protein PilW,Cell motility,,,CP008706.1,AKA33075.1,ABUW_RS16420,NZ_CP008706.1,
ABUW_3380,ABUW_3380,3419282,3420514,-,radical SAM enzyme%2C Cfr family,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33076.1,ABUW_RS16425,NZ_CP008706.1,
ABUW_3381,ndk,3420637,3421068,-,nucleoside diphosphate kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA33077.1,ABUW_RS16430,NZ_CP008706.1,
ABUW_3382,ABUW_3382,3421182,3421382,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33078.1,ABUW_RS16435,NZ_CP008706.1,
ABUW_3383,ABUW_3383,3421482,3422033,-,putative phosphatidylglycerophosphatase B,Lipid transport and metabolism,,,CP008706.1,AKA33079.1,ABUW_RS16440,NZ_CP008706.1,
ABUW_3384,ABUW_3384,3422058,3423344,-,glycosyl transferase%2C group 1 family protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33080.1,ABUW_RS16445,NZ_CP008706.1,
ABUW_3385,prc,3423495,3425678,-,carboxy- protease,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33081.1,ABUW_RS16450,NZ_CP008706.1,
ABUW_3386,nagZ,3425871,3426890,+,N-acetyl-beta-glucosaminidase,Carbohydrate transport and metabolism,,,CP008706.1,AKA33082.1,ABUW_RS16455,NZ_CP008706.1,
ABUW_3387,ABUW_3387,3427216,3428058,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA33083.1,ABUW_RS16460,NZ_CP008706.1,
ABUW_3388,ABUW_3388,3428111,3429424,-,putative hydrolase,Function unknown,,,CP008706.1,AKA33084.1,ABUW_RS16465,NZ_CP008706.1,
ABUW_3389,proA,3429724,3430989,+,glutamate-5-semialdehyde dehydrogenase,Amino acid transport and metabolism,,,CP008706.1,AKA33085.1,ABUW_RS16470,NZ_CP008706.1,
ABUW_3390,gapN,3431094,3432722,-,aldehyde dehydrogenase,Energy production and conversion,,,CP008706.1,AKA33086.1,ABUW_RS16475,NZ_CP008706.1,
ABUW_3391,gntK,3432896,3433408,-,shikimate kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA33087.1,ABUW_RS16480,NZ_CP008706.1,
ABUW_3392,gntT,3433426,3434784,-,high affinity gluconate permease,Amino acid transport and metabolism,,,CP008706.1,AKA33088.1,ABUW_RS16485,NZ_CP008706.1,
ABUW_3393,eda,3434980,3435600,-,khg/kdpg aldolase,Carbohydrate transport and metabolism,,,CP008706.1,AKA33089.1,ABUW_RS16490,NZ_CP008706.1,
ABUW_3394,edd,3435621,3437474,-,phosphogluconate dehydratase,Amino acid transport and metabolism,,,CP008706.1,AKA33090.1,ABUW_RS16495,NZ_CP008706.1,
ABUW_3395,ackA,3438177,3439439,+,acetate kinase,Coenzyme transport and metabolism,,,CP008706.1,AKA33091.1,ABUW_RS16500,NZ_CP008706.1,
ABUW_3396,pta,3439482,3441626,+,phosphate acetyltransferase,Energy production and conversion,,,CP008706.1,AKA33092.1,ABUW_RS16505,NZ_CP008706.1,
ABUW_3397,fumA,3441852,3443378,+,fumarate hydratase,Energy production and conversion,,,CP008706.1,AKA33093.1,ABUW_RS16510,NZ_CP008706.1,
ABUW_3398,ABUW_3398,3443520,3444074,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33094.1,ABUW_RS16515,NZ_CP008706.1,
ABUW_3399,ABUW_3399,3444099,3444815,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33095.1,ABUW_RS16520,NZ_CP008706.1,
ABUW_3400,clpX,3444963,3446276,-,ATP-dependent Clp protease%2C ATP-binding subunit ClpX,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33096.1,ABUW_RS16525,NZ_CP008706.1,
ABUW_3401,clpP,3446378,3446983,-,ATP-dependent Clp protease%2C proteolytic subunit ClpP,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33097.1,ABUW_RS16530,NZ_CP008706.1,
ABUW_3402,tig,3447176,3448510,-,trigger factor,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA33098.1,ABUW_RS16535,NZ_CP008706.1,
ABUW_3403,ABUW_3403,3448925,3451156,+,TonB-dependent receptor,Inorganic ion transport and metabolism,,"Fur,ABUW_1645",CP008706.1,AKA33099.1,ABUW_RS16540,NZ_CP008706.1,
ABUW_3404,piuC,3451261,3451944,+,iron uptake factor,Function unknown,,,CP008706.1,AKA33100.1,ABUW_RS16545,NZ_CP008706.1,
ABUW_3405,leuA,3452406,3454100,+,2-isopropylmalate synthase,Amino acid transport and metabolism,,,CP008706.1,AKA33101.1,ABUW_RS16550,NZ_CP008706.1,
ABUW_3406,metX,3454184,3455344,+,homoserine O-acetyltransferase,Amino acid transport and metabolism,,,CP008706.1,AKA33102.1,ABUW_RS16555,NZ_CP008706.1,
ABUW_3407,metW,3455344,3455937,+,methionine biosynthesis protein MetW,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA33103.1,ABUW_RS16560,NZ_CP008706.1,
ABUW_3408,ABUW_3408,3455934,3456521,+,Sel1 domain protein,Function unknown,,,CP008706.1,AKA33104.1,ABUW_RS16565,NZ_CP008706.1,
ABUW_3409,rdgB,3456690,3457316,+,non-canonical purine NTP pyrophosphatase%2C HAM1 family,Nucleotide transport and metabolism,,,CP008706.1,AKA33105.1,ABUW_RS16570,NZ_CP008706.1,
ABUW_3410,ABUW_3410,3457512,3458387,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33106.1,ABUW_RS16575,NZ_CP008706.1,
ABUW_3411,tatA,3458639,3458857,+,Sec-independent protein translocase protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33107.1,ABUW_RS16580,NZ_CP008706.1,
ABUW_3412,tatB,3458869,3459306,+,Sec-independent protein translocase protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33108.1,ABUW_RS16585,NZ_CP008706.1,
ABUW_3413,tatC,3459303,3460073,+,twin arginine-targeting protein translocase TatC,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33109.1,ABUW_RS16590,NZ_CP008706.1,
ABUW_3414,ABUW_3414,3460247,3462427,+,alkaline phosphatase,Function unknown,,,CP008706.1,AKA33110.1,ABUW_RS16595,NZ_CP008706.1,
ABUW_3415,ABUW_3415,3462636,3464828,+,phosphatase domain-containing protein,Function unknown,,,CP008706.1,AKA33111.1,ABUW_RS16600,NZ_CP008706.1,
ABUW_3416,ABUW_3416,3464877,3465656,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33112.1,ABUW_RS16605,NZ_CP008706.1,
ABUW_3417,lgt,3465750,3466568,+,prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33113.1,ABUW_RS16610,NZ_CP008706.1,
ABUW_3418,ABUW_3418,3466642,3467001,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33114.1,ABUW_RS16615,NZ_CP008706.1,
ABUW_3419,ABUW_3419,3467012,3467374,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA33115.1,ABUW_RS16620,NZ_CP008706.1,
ABUW_3420,thyA,3467497,3468339,+,thymidylate synthase,Nucleotide transport and metabolism,,,CP008706.1,AKA33116.1,ABUW_RS16625,NZ_CP008706.1,
ABUW_3421,folA,3468384,3468893,+,dihydrofolate reductase,Coenzyme transport and metabolism,,,CP008706.1,AKA33117.1,ABUW_RS16630,NZ_CP008706.1,
ABUW_3422,ABUW_3422,3468908,3469963,+,hypothetical protein,Function unknown,,,CP008706.1,AKA33118.1,ABUW_RS16635,NZ_CP008706.1,
ABUW_3423,msrA,3470064,3470585,+,methionine-S-sulfoxide reductase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA33119.1,ABUW_RS16640,NZ_CP008706.1,
ABUW_3424,ABUW_3424,3470646,3471050,-,biopolymer transport protein ExbD/TolR,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33120.1,ABUW_RS16645,NZ_CP008706.1,
ABUW_3425,ABUW_3425,3471050,3471670,-,MotA/TolQ/ExbB proton channel,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA33121.1,ABUW_RS16650,NZ_CP008706.1,
ABUW_3426,ABUW_3426,3471715,3472470,-,TonB protein,Cell wall/membrane/envelope biogenesis,,"Fur,Zur",CP008706.1,AKA33122.1,ABUW_RS16655,NZ_CP008706.1,
ABUW_3427,purU,3472862,3473725,-,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,,,CP008706.1,AKA33123.1,ABUW_RS16660,NZ_CP008706.1,
ABUW_3428,ABUW_3428,3473800,3474492,-,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA33124.1,ABUW_RS16665,NZ_CP008706.1,
ABUW_3429,calB,3474605,3476053,+,aldehyde dehydrogenase,Energy production and conversion,,,CP008706.1,AKA33125.1,ABUW_RS16670,NZ_CP008706.1,
ABUW_3430,rpmB,3476221,3476457,+,ribosomal protein L28,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33126.1,ABUW_RS16675,NZ_CP008706.1,
ABUW_3431,rpmG,3476470,3476625,+,ribosomal protein L33,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA33127.1,ABUW_RS16680,NZ_CP008706.1,
ABUW_3432,ABUW_3432,3476774,3478483,+,monovalent cation transporter,Inorganic ion transport and metabolism,,,CP008706.1,AKA33128.1,ABUW_RS16685,NZ_CP008706.1,
ABUW_3433,ABUW_3433,3478521,3478799,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33129.1,ABUW_RS16690,NZ_CP008706.1,
ABUW_3434,ABUW_3434,3478912,3479445,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33130.1,ABUW_RS16695,NZ_CP008706.1,
ABUW_3435,ABUW_3435,3479496,3479855,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33131.1,ABUW_RS16700,NZ_CP008706.1,
ABUW_3436,ABUW_3436,3479863,3480102,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33132.1,ABUW_RS16705,NZ_CP008706.1,
ABUW_3437,ABUW_3437,3480176,3482155,-,putative ATP-dependent DNA helicase,"Replication, recombination and repair",,,CP008706.1,AKA33133.1,ABUW_RS16710,NZ_CP008706.1,
ABUW_3438,ABUW_3438,3482272,3482844,-,hypothetical protein,Function unknown,,,CP008706.1,AKA33134.1,ABUW_RS16715,NZ_CP008706.1,
ABUW_3439,ABUW_3439,3482982,3483740,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33135.1,ABUW_RS16720,NZ_CP008706.1,
ABUW_3440,topA,3483828,3486464,-,DNA topoisomerase I,"Replication, recombination and repair",,,CP008706.1,AKA33136.1,ABUW_RS16725,NZ_CP008706.1,
ABUW_3441,ABUW_3441,3486500,3486949,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA33137.1,ABUW_RS16730,NZ_CP008706.1,
ABUW_3442,ABUW_3442,3487097,3487474,-,transcriptional regulatory protein,Transcription,,,CP008706.1,AKA33138.1,ABUW_RS16735,NZ_CP008706.1,
ABUW_3443,ABUW_3443,3487574,3488584,+,alcohol dehydrogenase%2C zinc-binding,Energy production and conversion,,,CP008706.1,AKA33139.1,ABUW_RS16740,NZ_CP008706.1,
ABUW_3444,ABUW_3444,3488632,3488877,-,SlyX superfamily,Function unknown,,,CP008706.1,AKA33140.1,ABUW_RS16745,NZ_CP008706.1,
ABUW_3445,uup,3488910,3490820,+,ABC transporter ATP-binding protein uup,Function unknown,,,CP008706.1,AKA33141.1,ABUW_RS16750,NZ_CP008706.1,
ABUW_3446,ABUW_3446,3490966,3491598,+,RhtB family transporter,Amino acid transport and metabolism,,,CP008706.1,AKA33142.1,ABUW_RS16755,NZ_CP008706.1,
ABUW_3447,lpxL,3491718,3492653,+,lipid A biosynthesis acyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33143.1,ABUW_RS16760,NZ_CP008706.1,
ABUW_3448,ABUW_3448,3492919,3494019,+,glycosyl transferase%2C group 1,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA33144.1,ABUW_RS16765,NZ_CP008706.1,
