,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b3583,3750085,3750781,+,sgbE,696,yiaKLMNO-lyxK-sgbHUE,Carbohydrate transport and metabolism,L-ribulose-5-phosphate 4-epimerase,,,,"crp,ihf,rpoD,rpoE,yiaJ"
b3584,3751127,3751868,-,yiaT,741,yiaT,Cell wall/membrane/envelope biogenesis,outer membrane protein YiaT,,,,
b3585,3751991,3752966,+,yiaU,975,yiaU,Transcription,"predicted DNA-binding transcriptional regulator, LysR-type",,,,
b3586,3752962,3754099,-,yiaV,1137,yiaWV,Defense mechanisms,putative membrane fusion protein (MFP) component of efflux pump,,,,
b3588,3754972,3756511,-,aldB,1539,aldB,Energy production and conversion,acetaldehyde dehydrogenase,,,,"crp,fis,rpoS"
b3589,3756675,3757827,-,yiaY,1152,yiaY,Energy production and conversion,L-threonine dehydrogenase,,,,
b3590,3758016,3759861,-,selB,1845,selAB,"Translation, ribosomal structure and biogenesis",selenocysteyl-tRNA-specific translation elongation factor,,,,
b3591,3759857,3761249,-,selA,1392,selAB,Amino acid transport and metabolism,selenocysteine synthase,,,,
b3592,3761346,3761955,-,yibF,609,yibF,"Posttranslational modification, protein turnover, chaperones",glutathione transferase-like protein possibly involved in selenium metabolism,,,,
b3593,3762182,3766316,+,rhsA,4134,rhsA-yibA,Cell wall/membrane/envelope biogenesis,RhsA protein in rhs element,,,,ybaQ
b3594,3766336,3767179,+,yibA,843,rhsA-yibA,Function unknown,predicted lyase containing HEAT-repeat,,,,rpoH
b3595,3767220,3768165,+,rhsJ,945,yibJ,No COG Annotation,predicted Rhs-family protein,,,,
b3597,3770242,3771379,-,yibH,1137,yibIH,Defense mechanisms,inner membrane protein YibH,,,,crp
b3598,3771381,3771744,-,yibI,363,yibIH,Function unknown,predicted inner membrane protein,,,,crp
b3599,3772280,3774194,+,mtlA,1914,mtlADR,Carbohydrate transport and metabolism,mannitol PTS permease,,,,"cra,crp,fis,rpoD"
b3600,3774423,3775572,+,mtlD,1149,mtlADR,Carbohydrate transport and metabolism,mannitol-1-phosphate 5-dehydrogenase,,,,"cra,crp,fis,rpoD"
b3601,3775571,3776159,+,mtlR,588,mtlADR,Transcription,MtlR DNA-binding transcriptional repressor,,,,"cra,crp,fis,rpoD"
b3602,3776664,3777027,+,yibL,363,yibL,Function unknown,conserved protein,,,,
b3603,3777398,3779054,+,lldP,1656,lldPRD,Energy production and conversion,(R)-lactate / (S)-lactate / glycolate:H+ symporter LldP,,,,"arcA,crp,lldR,rpoD,ydcI"
b3604,3779053,3779830,+,lldR,777,lldPRD,Transcription,LldR transcriptional dual regulator,,,,"arcA,crp,lldR,rpoD"
b3605,3779826,3781017,+,lldD,1191,lldPRD,Energy production and conversion,L-lactate dehydrogenase,,,,"arcA,crp,lldR,rpoD"
b3606,3781214,3781688,+,trmL,474,trmL,"Translation, ribosomal structure and biogenesis",tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase,,,,
b3607,3781740,3782562,-,cysE,822,cysE,Amino acid transport and metabolism,serine acetyltransferase,,,,sutR
b3608,3782641,3783661,-,gpsA,1020,yibN-grxC-secB-gpsA,Energy production and conversion,glycerol-3-phosphate dehydrogenase,,,,"crp,rpoD"
b3609,3783660,3784128,-,secB,468,yibN-grxC-secB-gpsA,"Intracellular trafficking, secretion, and vesicular transport",SecB chaperone,,,,"crp,rpoD"
b3610,3784190,3784442,-,grxC,252,yibN-grxC-secB-gpsA,"Posttranslational modification, protein turnover, chaperones",reduced glutaredoxin 3,,,,rpoD
b3611,3784583,3785015,-,yibN,432,yibN-grxC-secB-gpsA,Inorganic ion transport and metabolism,predicted rhodanese-related sulfurtransferase,,,,"fnr,rpoD"
b3612,3785259,3786804,+,gpmM,1545,gpmM-envC-yibQ,Carbohydrate transport and metabolism,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",,,,"cra,fnr,rpoS"
b3613,3786837,3788097,+,envC,1260,gpmM-envC-yibQ,"Cell cycle control, cell division, chromosome partitioning","EnvC divisome associated factor, activator of peptidoglycan hydrolases",,,,"cra,fnr,rpoS"
b3614,3788100,3789060,+,yibQ,960,gpmM-envC-yibQ,Function unknown,putative nucleoside (IDP) diphosphatase,,,,"cra,fnr,rpoS,yeiE"
b3615,3789046,3790081,-,waaH,1035,waaH,Cell wall/membrane/envelope biogenesis,UDP-glucuronate:LPS(HepIII) glycosyltransferase,,,,"nsrR,phoB,rpoD"
b3616,3790319,3791345,-,tdh,1026,kbl-tdh,Amino acid transport and metabolism,threonine dehydrogenase,,,,"lrp,rpoD"
b3617,3791354,3792551,-,kbl,1197,kbl-tdh,Coenzyme transport and metabolism,2-amino-3-ketobutyrate CoA ligase,,,,"lrp,rpoD"
b3618,3792825,3793683,-,yibB,858,htrL,Function unknown,involved in lipopolysaccharide biosynthesis,,,,
b3619,3793986,3794919,+,hldD,933,rfaD-waaFCL,Cell wall/membrane/envelope biogenesis,ADP-L-glycero-D-mannoheptose-6-epimerase,,,,"nac,rpoD,rpoE,rpoH"
b3620,3794928,3795975,+,waaF,1047,rfaD-waaFCL,Cell wall/membrane/envelope biogenesis,ADP-heptose:LPS heptosyltransferase II,,,,"nac,rpoD,rpoE,rpoH"
b3621,3795978,3796938,+,waaC,960,rfaD-waaFCL,Cell wall/membrane/envelope biogenesis,ADP-heptose:LPS heptosyltransferase I,,,,"nac,rpoD,rpoE,rpoH"
b3622,3796947,3798207,+,waaL,1260,rfaD-waaFCL,Function unknown,O-antigen ligase,,,,"nac,rpoD,rpoE,rpoH"
b3623,3798238,3799312,-,waaU,1074,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,lipopolysaccharide core biosynthesis, heptosyl transferase IV, probably hexose transferase,,"nac,rpoD"
b3624,3799344,3800196,-,waaZ,852,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,protein involved in KdoIII attachment during lipopolysaccharide core biosynthesis,,,,"marA,nac,rpoD,soxS"
b3625,3800266,3800965,-,waaY,699,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,lipopolysaccharide core heptose (II) kinase,,,,"argR,marA,nac,rpoD,soxS"
b3626,3800982,3801999,-,waaR,1017,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase",,,,"nac,rpoD"
b3627,3802038,3803058,-,waaO,1020,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase",,,,"nac,rpoD"
b3628,3803057,3804137,-,waaB,1080,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase",,,,"argR,nac,rpoD"
b3629,3804180,3805116,-,waaS,936,rirA-waaQGPSBOJYZU,Function unknown,lipopolysaccharide core biosynthesis protein,,,,"nac,rpoD"
b3630,3805152,3805950,-,waaP,798,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,lipopolysaccharide core heptose (I) kinase,,,,"argR,nac,rpoD"
b3631,3805942,3807067,-,waaG,1125,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,lipopolysaccharide glucosyltransferase I,,,,"argR,nac,rpoD"
b3632,3807063,3808098,-,waaQ,1035,rirA-waaQGPSBOJYZU,Cell wall/membrane/envelope biogenesis,lipopolysaccharide core heptosyltransferase III,,,,"argR,nac,rpoD"
b3633,3808539,3809817,+,waaA,1278,waaA-coaD,Cell wall/membrane/envelope biogenesis,KDO transferase,,,,rpoD
b3634,3809824,3810304,+,coaD,480,waaA-coaD,Coenzyme transport and metabolism,phosphopantetheine adenylyltransferase,,,,rpoD
b3635,3810342,3811152,-,mutM,810,yicR-rpmBG-mutM,"Replication, recombination and repair",formamidopyrimidine DNA glycosylase,,,,"arcA,rpoH"
b3636,3811249,3811417,-,rpmG,168,yicR-rpmBG-mutM,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L33,,,,arcA
b3637,3811437,3811674,-,rpmB,237,yicR-rpmBG-mutM,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L28,,,,arcA
b3638,3811890,3812559,-,yicR,669,yicR-rpmBG-mutM,"Replication, recombination and repair",hypothetical protein,,,,
b3639,3812730,3813951,+,dfp,1221,dfp,Coenzyme transport and metabolism,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,,,,
b3640,3813931,3814387,+,dut,456,dut-slmA,Nucleotide transport and metabolism,deoxyuridine triphosphatase,,,,rpoD
b3641,3814493,3815090,+,slmA,597,dut-slmA,"Cell cycle control, cell division, chromosome partitioning",nucleoid occlusion factor SlmA,,,,rpoD
b3642,3815126,3815768,-,pyrE,642,rph-pyrE,Nucleotide transport and metabolism,orotate phosphoribosyltransferase,,,,
b3643_1,3815880,3816549,-,rph_1,669,rph-pyrE,"Translation, ribosomal structure and biogenesis",,,,,
b3644,3816675,3817539,+,yicC,864,yicC,Function unknown,conserved protein,,,,
b3645,3817759,3818584,+,dinD,825,dinD,Function unknown,DNA-damage-inducible protein,,,,lexA
b3646,3818873,3819491,+,yicG,618,yicG,Function unknown,conserved inner membrane protein,,,,ydcI
b3647,3819487,3821170,-,ligB,1683,ligB,"Replication, recombination and repair",DNA ligase,,,,
b3648,3821427,3822051,+,gmk,624,gmk,Nucleotide transport and metabolism,guanylate kinase,,,,"nac,rpoD"
b3649,3822105,3822381,+,rpoZ,276,rpoZ-spoT-trmH-recG,Transcription,"RNA polymerase, &omega; subunit",,,,"nac,rpoD"
b3650,3822399,3824508,+,spoT,2109,rpoZ-spoT-trmH-recG,Transcription,"guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase/GDP diphosphokinase/guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",,,,"nac,rpoD"
b3651,3824514,3825204,+,trmH,690,rpoZ-spoT-trmH-recG,"Translation, ribosomal structure and biogenesis",tRNA (Gm18) 2'-<i>O</i>-methyltransferase,,,,"nac,rpoD"
b3652,3825209,3827291,+,recG,2082,rpoZ-spoT-trmH-recG,"Replication, recombination and repair",RecG DNA helicase,,,,"nac,rpoD"
b3653,3827459,3828665,-,gltS,1206,gltS,Amino acid transport and metabolism,glutamate:sodium symporter,,,,
b3654,3828944,3830336,+,xanP,1392,xanP,Nucleotide transport and metabolism,xanthine:H<sup>+</sup> symporter XanP,,,,purR
b3655,3830456,3832166,+,yicH,1710,yicH,Function unknown,conserved protein,,,,yeiE
b3656,3832218,3834537,-,yicI,2319,yicJI,Carbohydrate transport and metabolism,&alpha,-D-xyloside xylohydrolase,,,rpoE
b3657,3834546,3835929,-,yicJ,1383,yicJI,Carbohydrate transport and metabolism,"putative transport protein, glycoside-pentoside-hexuronide:cation symporter family",,,,rpoE
b3659,3836952,3838137,+,setC,1185,setC,Carbohydrate transport and metabolism,putative arabinose exporter SetC,,,,
b3660,3838247,3839171,+,yicL,924,yicL,Amino acid transport and metabolism,predicted inner membrane protein,,,,
b3661,3839174,3839993,-,nlpA,819,nlpA,Inorganic ion transport and metabolism,lipoprotein-28,,,,csgD
b3662,3840548,3841739,-,nepI,1191,nepI,Carbohydrate transport and metabolism,purine ribonucleoside exporter,,,,"arcA,soxS"
b3663,3841949,3842402,-,yicN,453,yicN,Function unknown,conserved protein,,,,
b3664,3842454,3843789,-,adeQ,1335,adeQ,Function unknown,adenine transporter,,,,
b3665,3843963,3845730,+,adeD,1767,adeD,Nucleotide transport and metabolism,cryptic adenine deaminase,,,,"h-NS,rpoD"
b3666,3845775,3847167,-,uhpT,1392,uhpT,Carbohydrate transport and metabolism,hexose-6-phosphate:phosphate antiporter,,,,"crp,rpoD,uhpA,uvrY,yeiE"
b3667,3847304,3848624,-,uhpC,1320,ivbL-ilvBN-uhpABC,Carbohydrate transport and metabolism,inner membrane protein sensing glucose-6-phosphate,,,,crp
b3668,3848633,3850136,-,uhpB,1503,ivbL-ilvBN-uhpABC,Signal transduction mechanisms,UhpB sensory histidine kinase,,,,crp
b3669,3850135,3850726,-,uhpA,591,ivbL-ilvBN-uhpABC,Signal transduction mechanisms,UhpA transcriptional activator,,,,crp
b3670,3850801,3851092,-,ilvN,291,ivbL-ilvBN-uhpABC,Amino acid transport and metabolism,"acetohydroxy acid synthase I, small subunit",,,,"crp,leu-tRNA,lrp,rpoD,val-tRNA,yeiE"
b3671,3851095,3852784,-,ilvB,1689,ivbL-ilvBN-uhpABC,Amino acid transport and metabolism,"acetohydroxy acid synthase I, large subunit",,,,"crp,leu-tRNA,lrp,rpoD,val-tRNA"
b3672,3852889,3852988,-,ivbL,99,ivbL-ilvBN-uhpABC,No COG Annotation,ilvB operon leader peptide,,,,"crp,lrp,rpoD"
b3673,3853921,3855106,+,emrD,1185,emrD,Inorganic ion transport and metabolism,multidrug efflux pump EmrD,,,,"fur,lrp,rpoN"
b3674,3855113,3855611,-,yidF,498,yidHGF,Function unknown,predicted DNA-binding transcriptional regulator,,,,
b3675,3855607,3855970,-,yidG,363,yidHGF,Function unknown,predicted inner membrane protein,,,,
b3676,3855959,3856307,-,yidH,348,yidHGF,Function unknown,conserved inner membrane protein,,,,
b3677,3856414,3856864,+,yidI,450,yidI,Function unknown,predicted inner membrane protein,,,,
b3678,3856910,3858404,-,yidJ,1494,yidKJ,Inorganic ion transport and metabolism,predicted sulfatase/phosphatase,,,,
b3679,3858400,3860116,-,yidK,1716,yidKJ,Function unknown,"putative transport protein, sodium:solute symport family",,,,
b3680,3860282,3861176,+,yidL,894,yidL,Transcription,predicted DNA-binding transcriptional regulator,,,,
b3683,3861986,3863603,-,glvC,1617,glvCBG-ysdC,No COG Annotation,GlvC subunit of predicted PTS permease (pseudogene),,,,
b3684,3863898,3864615,+,yidP,717,yidP,Transcription,predicted DNA-binding transcriptional regulator,,,,
b3685,3864611,3866273,-,yidE,1662,yidE,Inorganic ion transport and metabolism,"putative transport protein, aspartate:alanine exchanger family",,,,
b3686,3866468,3866897,-,ibpB,429,ibpAB,"Posttranslational modification, protein turnover, chaperones",small heat shock protein IbpB,,,,"ihf,nac,rpoH,rpoN"
b3687,3867008,3867422,-,ibpA,414,ibpAB,"Posttranslational modification, protein turnover, chaperones",small heat shock protein IbpA,,,,"nac,rpoH"
b3688,3867727,3868060,+,yidQ,333,yidQ,Function unknown,conserved outer membrane protein,,,,"cpxR,nac,rpoE"
b3689,3868061,3869309,-,yidR,1248,yidR,Function unknown,conserved protein,,,,
b3690,3869376,3870441,+,cbrA,1065,cbrA,Energy production and conversion,colicin M resistance protein,,,,
b3691,3870437,3871730,-,dgoT,1293,dgoRKADT,Carbohydrate transport and metabolism,galactonate transporter,,,,
b3693,3873595,3874474,-,dgoK,879,dgoRKADT,Carbohydrate transport and metabolism,2-dehydro-3-deoxygalactonate kinase,,,,
b3696,3875437,3876094,+,yidX,657,yidX,Function unknown,predicted lipoprotein,,,,
b3697,3876139,3876952,-,yidA,813,yidA,Function unknown,sugar phosphatase,,,,
b3698,3877066,3877465,-,yidB,399,yidB,Function unknown,conserved protein,,,,
b3699,3877704,3880119,-,gyrB,2415,gyrB,"Replication, recombination and repair","DNA gyrase, subunit B",,,,"fis,rpoD,rpoS"
b3700,3880147,3881221,-,recF,1074,dnaAN-recF,"Replication, recombination and repair","ssDNA and dsDNA binding,  ATP binding",,,,"arcA,argP,dnaA,fnr,nac,rpoD,rpoS"
b3701,3881220,3882321,-,dnaN,1101,dnaAN-recF,"Replication, recombination and repair","DNA polymerase III, &beta; subunit",,,,"arcA,argP,dnaA,fnr,nac,rpoD,rpoS"
b3702,3882325,3883729,-,dnaA,1404,dnaAN-recF,"Replication, recombination and repair",chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator,,,"arcA,argP,dnaA,fnr,nac,rpoD"
b3703,3884335,3884476,+,rpmH,141,rpmH-rnpA,"Translation, ribosomal structure and biogenesis",50S ribosomal subunit protein L34,,,,"arcA,fnr,nac"
b3704,3884492,3884852,+,rnpA,360,rpmH-rnpA,"Translation, ribosomal structure and biogenesis","RNase P protein component; processes tRNA, 4.5S RNA",,,,"arcA,fnr,nac"
b3705,3885075,3886722,+,yidC,1647,yidC,"Intracellular trafficking, secretion, and vesicular transport",inner-membrane protein insertion factor,,,,ybaQ
b3706,3886827,3888192,+,mnmE,1365,mnmE,Function unknown,"GTPase, involved in modification of U34 in tRNA",,,,
b3708,3888729,3890145,+,tnaA,1416,tnaCAB,Amino acid transport and metabolism,tryptophanase,,,,"L-tryptophan,crp,rpoD,torR"
b3709,3890235,3891483,+,tnaB,1248,tnaCAB,Amino acid transport and metabolism,tryptophan:H<sup>+</sup> symporter TnaB,,,,"L-tryptophan,crp,rpoD,torR"
b3710,3891614,3892790,+,mdtL,1176,mdtL,Defense mechanisms,multidrug efflux pump,,,,"nac,trpR,yeiE"
b3711,3892764,3893724,+,yidZ,960,yidZ,Transcription,putative transcriptional regulator LysR-type,,,,yeiE
b3712,3893880,3894630,+,yieE,750,yieEF,Coenzyme transport and metabolism,predicted phosphopantetheinyl transferase,,,,"arcA,nac,rpoE"
b3713,3894651,3895218,+,chrR,567,yieEF,Function unknown,chromate reductase,,,,"nac,rpoE"
b3714,3895271,3896609,-,adeP,1338,adeP,Function unknown,adenine:H<sup>+</sup> symporter,,,,nac
b3715,3896773,3897439,+,yieH,666,yieH,Function unknown,6-phosphogluconate phosphatase,,,,nac
b3716,3897505,3897973,+,cbrB,468,cbrBC,Function unknown,predicted inner membrane protein,,,,
b3717,3898021,3898609,+,cbrC,588,cbrBC,Function unknown,colicin E2 tolerance protein,,,,
b3718,3898670,3899393,-,yieK,723,bglH-yieLK,Carbohydrate transport and metabolism,predicted 6-phosphogluconolactonase,,,,
b3719,3899407,3900577,-,yieL,1170,bglH-yieLK,Inorganic ion transport and metabolism,predicted xylanase,,,,
b3720,3900603,3902220,-,bglH,1617,bglH-yieLK,Carbohydrate transport and metabolism,"carbohydrate-specific outer membrane porin, cryptic",,,,
b3721,3902288,3903701,-,bglB,1413,bglGFB,Carbohydrate transport and metabolism,6-phospho-&beta,-glucosidase B, cryptic,,"crp,fis,h-NS,leuO,stpA"
b3722,3903719,3905597,-,bglF,1878,bglGFB,Carbohydrate transport and metabolism,BglF,,,,"crp,fis,h-NS,leuO,stpA"
b3723,3905730,3906567,-,bglG,837,bglGFB,Transcription,BglG transcriptional antiterminator,,,,"crp,fis,h-NS,leuO,stpA"
b3724,3906852,3907578,-,phoU,726,pstSCAB-phoU,Inorganic ion transport and metabolism,negative regulator of the <i>pho</i> regulon,,,,"fnr,ihf,phoB,rpoD,rpoS"
b3725,3907592,3908366,-,pstB,774,pstSCAB-phoU,Inorganic ion transport and metabolism,phosphate ABC transporter - ATP binding subunit,,,,"fnr,ihf,phoB,rpoD,rpoS"
b3726,3908548,3909439,-,pstA,891,pstSCAB-phoU,Inorganic ion transport and metabolism,phosphate ABC transporter - membrane subunit,,,,"fnr,ihf,phoB,rpoD,rpoS"
b3727,3909438,3910398,-,pstC,960,pstSCAB-phoU,Inorganic ion transport and metabolism,phosphate ABC transporter - membrane subunit,,,,"fnr,ihf,phoB,rpoD,rpoS"
b3728,3910484,3911525,-,pstS,1041,pstSCAB-phoU,Inorganic ion transport and metabolism,phosphate ABC transporter - periplasmic binding protein,,,,"fnr,ihf,phoB,rpoD,rpoS"
b3729,3911838,3913668,-,glmS,1830,glmUS,Cell wall/membrane/envelope biogenesis,L-glutamine:D-fructose-6-phosphate aminotransferase,,,,"nagC,rpoD"
b3730,3913829,3915200,-,glmU,1371,glmUS,Cell wall/membrane/envelope biogenesis,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,,,,"nagC,rpoD"
b3731,3915552,3915972,-,atpC,420,atpIBEFHAGDC,Energy production and conversion,ATP synthase F1 complex - epsilon subunit,,,,"argR,rpoD"
b3732,3915992,3917375,-,atpD,1383,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>1</sub> complex - beta subunit,,,,"argR,rpoD"
b3733,3917401,3918265,-,atpG,864,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>1</sub> complex - gamma subunit,,,,"argR,rpoD"
b3734,3918315,3919857,-,atpA,1542,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>1</sub> complex - alpha subunit,,,,"argR,rpoD"
b3735,3919869,3920403,-,atpH,534,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>1</sub> complex - delta subunit,,,,"argR,rpoD,yeiE"
b3736,3920417,3920888,-,atpF,471,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>0</sub> complex - b subunit,,,,"argR,rpoD"
b3737,3920949,3921189,-,atpE,240,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>0</sub> complex - subunit c,,,,"argR,rpoD"
b3738,3921235,3922051,-,atpB,816,atpIBEFHAGDC,Energy production and conversion,ATP synthase F<sub>0</sub> complex - a subunit,,,,"argR,rpoD"
b3739,3922059,3922440,-,atpI,381,atpIBEFHAGDC,Energy production and conversion,AtpI,,,,"argR,rpoD"
b3740,3923056,3923680,-,rsmG,624,asnC-mioC-mnmG-rsmG,Cell wall/membrane/envelope biogenesis,16S rRNA m<sup>7</sup>G527 methyltransferase,,,,"rpoD,rpoS"
b3741,3923743,3925633,-,mnmG,1890,asnC-mioC-mnmG-rsmG,"Cell cycle control, cell division, chromosome partitioning",protein involved in modification of U34 in tRNA,,,,"asnC,nac,rpoD,rpoS"
b3742,3926011,3926455,-,mioC,444,asnC-mioC-mnmG-rsmG,Energy production and conversion,flavoprotein involved in biotin synthesis,,,,"asnC,mraZ,nac,rpoD"
b3743,3926544,3927003,-,asnC,459,asnC-mioC-mnmG-rsmG,Transcription,AsnC DNA-binding transcriptional dual regulator,,,,"asnC,gadE,nac,rpoD"
b3744,3927154,3928147,+,asnA,993,asnA,Amino acid transport and metabolism,asparagine synthetase A,,,,"asnC,nac,rpoD"
b3745,3928151,3929603,-,viaA,1452,ravA-viaA,Function unknown,stimulator of RavA ATPase activity,,,,"fnr,rpoS"
b3746,3929596,3931093,-,ravA,1497,ravA-viaA,Function unknown,regulatory ATPase,,,,"fnr,rpoS"
b3747,3931315,3933184,+,kup,1869,kup,Inorganic ion transport and metabolism,K<sup>+</sup> transporter Kup,,,,fnr
b3748,3933350,3933770,+,rbsD,420,rbsDACBKR,Carbohydrate transport and metabolism,ribose pyranase,,,,"crp,rbsR,rpoD"
b3749,3933777,3935283,+,rbsA,1506,rbsDACBKR,Inorganic ion transport and metabolism,ribose ABC transporter - putative ATP binding subunit,,,,"crp,rbsR,rpoD,ybiH,yeiE"
b3750,3935287,3936253,+,rbsC,966,rbsDACBKR,Carbohydrate transport and metabolism,ribose ABC transporter - membrane subunit,,,,"crp,rbsR,rpoD"
b3751,3936277,3937168,+,rbsB,891,rbsDACBKR,Carbohydrate transport and metabolism,ribose ABC transporter - putative periplasmic binding protein,,,,"crp,rbsR,rpoD"
b3752,3937293,3938223,+,rbsK,930,rbsDACBKR,Carbohydrate transport and metabolism,ribokinase,,,,"crp,rbsR,rpoD"
b3753,3938226,3939219,+,rbsR,993,rbsDACBKR,Transcription,RbsR DNA-binding transcriptional dual regulator,,,,"crp,rbsR,rpoD"
b3754,3939184,3940612,-,hsrA,1428,yieP-hsrA,Inorganic ion transport and metabolism,"putative transport protein, major facilitator superfamily (MFS)",,,,
b3755,3940634,3941327,-,yieP,693,yieP-hsrA,Transcription,predicted transcriptional regulator,,,,
b3764,3948085,3948424,+,yifE,339,maoP,Function unknown,macrodomain Ori protein,,,,
b3765,3948448,3949969,-,yifB,1521,yifB,"Posttranslational modification, protein turnover, chaperones",predicted ATP-dependent protease,,,,
b3766,3950321,3950420,+,ilvL,99,ilvLXG_1G_2MEDA,No COG Annotation,ilvGEDA operon leader peptide,,,,"ihf,lrp,nac,rpoD"
b3769,3952200,3952464,+,ilvM,264,ilvLXG_1G_2MEDA,Amino acid transport and metabolism,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",,,,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA"
b3770,3952483,3953413,+,ilvE,930,ilvLXG_1G_2MEDA,Amino acid transport and metabolism,branched-chain amino-acid aminotransferase,,,,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA"
b3771,3953477,3955328,+,ilvD,1851,ilvLXG_1G_2MEDA,Amino acid transport and metabolism,dihydroxy acid dehydratase,,,,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA"
b3772,3955330,3956875,+,ilvA,1545,ilvLXG_1G_2MEDA,Amino acid transport and metabolism,threonine deaminase,,,,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA"
b3773,3956926,3957820,-,ilvY,894,ilvY,Transcription,IlvY DNA-binding transcriptional dual regulator,,,,"ilvY,rpoD,rpoS"
b3774,3957969,3959445,+,ilvC,1476,ilvC,Amino acid transport and metabolism,acetohydroxy acid isomeroreductase,,,,"ilvY,rpoD"
b3775,3959531,3959813,-,ppiC,282,ppiC,"Posttranslational modification, protein turnover, chaperones",peptidyl-prolyl <i>cis-trans</i> isomerase C (rotamase C),,,,nac
b3777_2,3960011,3960254,-,yifN_2,243,yifNO,No COG Annotation,,,,,
b3778,3960676,3962698,+,rep,2022,rep,"Replication, recombination and repair","Rep helicase, a single-stranded DNA-dependent ATPase",,,,"nac,rpoD"
b3779,3962744,3964229,-,gpp,1485,gpp,Nucleotide transport and metabolism,"guanosine-5'-triphosphate, 3'-diphosphate pyrophosphatase",,,,
b3780,3964364,3965630,-,rhlB,1266,rhlB,"Replication, recombination and repair","RhlB, ATP-dependent RNA helicase of the RNA degradosome",,,,arcA
b3781,3965760,3966090,+,trxA,330,trxA,"Posttranslational modification, protein turnover, chaperones",thioredoxin 1,,,,"arcA,crp,rpoD"
b3783,3966416,3967676,+,rho,1260,rhoL-rho,Transcription,transcription termination factor Rho,  polarity suppressor,,,arcA
b3784,3967915,3969019,+,wecA,1104,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,undecaprenyl-phosphate &alpha,-N-acetylglucosaminyl transferase,,,"nac,nsrR,rpoD"
b3785,3969030,3970077,+,wzzE,1047,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,Enterobacterial Common Antigen (ECA) polysaccharide chain length modulation protein,,,,"nac,nsrR,rpoD"
b3786,3970132,3971263,+,wecB,1131,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,UDP-<i>N</i>-acetylglucosamine 2-epimerase,,,,"nac,nsrR,rpoD"
b3787,3971259,3972522,+,wecC,1263,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,UDP-<i>N</i>-acetyl-D-mannosamine dehydrogenase,,,,"nac,nsrR,rpoD"
b3788,3972521,3973589,+,rffG,1068,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,"dTDP-glucose 4,6-dehydratase 2",,,,"nac,nsrR,rpoD"
b3789,3973607,3974489,+,rffH,882,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,Cell wall/membrane/envelope biogenesis,dTDP-glucose pyrophosphorylase 2,,,,"nac,nsrR,rpoD"
