,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b3686,ibpB,,3866469,3866897,-,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones",P0C058,"RpoN,RpoH,IHF,Lrp",ibpAB,429.0
b3687,ibpA,,3867009,3867422,-,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",P0C054,"RpoH,gcvB,Lrp,Nac",ibpAB,414.0
b3688,yidQ,,3867728,3868060,+,DUF1375 domain-containing putative lipoprotein YidQ,Function unknown,P0ADM4,"RpoE,CpxR,Nac",yidQ,333.0
b3689,yidR,,3868062,3869309,-,DUF3748 domain-containing galacturonate catabolism protein YidR,"Intracellular trafficking, secretion, and vesicular transport",P31455,,yidR,1248.0
b3690,cbrA,,3869377,3870441,+,colicin M resistance protein,Energy production and conversion,P31456,CreB,cbrA,1065.0
b3691,dgoT,,3870438,3871730,-,putative D-galactonate transporter,Inorganic ion transport and metabolism,P0AA76,"RpoD,Crp,DgoR",dgoRKADT,1293.0
b4478,dgoD,,3871850,3872998,-,D-galactonate dehydratase,Cell wall/membrane/envelope biogenesis,Q6BF17,"RpoD,Crp,DgoR",dgoRKADT,1149.0
b4477,dgoA,,3872995,3873612,-,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Carbohydrate transport and metabolism,Q6BF16,"RpoD,Crp,DgoR",dgoRKADT,618.0
b3693,dgoK,,3873596,3874474,-,2-dehydro-3-deoxygalactonokinase,Carbohydrate transport and metabolism,P31459,"RpoD,Crp,DgoR",dgoRKADT,879.0
b4479,dgoR,,3874471,3875160,-,putative DNA-binding transcriptional regulator DgoR,Transcription,P31460,"RpoD,Crp,ppGpp,DgoR",dgoRKADT,690.0
b3696,yidX,,3875438,3876094,+,putative lipoprotein YidX,No COG annotation,P0ADM6,,yidX,657.0
b3697,yidA,,3876140,3876952,-,sugar phosphatase YidA,Function unknown,P0A8Y5,,yidA,813.0
b3698,yidB,,3877067,3877465,-,conserved protein YidB,Function unknown,P09996,GlaR,yidB,399.0
b3699,gyrB,,3877705,3880119,-,DNA gyrase subunit B,"Replication, recombination and repair",P0AES6,"RpoD,RpoS,Fis",gyrB,2415.0
b3700,recF,,3880148,3881221,-,DNA repair protein RecF,"Replication, recombination and repair",P0A7H0,"RpoD,RpoS,ppGpp,ArgP,DnaA,Fis",dnaAN-recF,1074.0
b3701,dnaN,,3881221,3882321,-,beta sliding clamp,"Replication, recombination and repair",P0A988,"RpoD,RpoS,ppGpp,ArgP,DnaA,Fis",dnaAN-recF,1101.0
b3702,dnaA,,3882326,3883729,-,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",P03004,"RpoD,ppGpp,ArgP,DnaA,Fis,Nac",dnaAN-recF,1404.0
b3703,rpmH,,3884336,3884476,+,50S ribosomal subunit protein L34,"Translation, ribosomal structure and biogenesis",P0A7P5,"YfeC,Nac,ppGpp",rpmH-rnpA,141.0
b3704,rnpA,,3884493,3884852,+,RNase P protein component,"Translation, ribosomal structure and biogenesis",P0A7Y8,"rnpB,YidZ,ppGpp",rpmH-rnpA,360.0
b4557,yidD,,3884816,3885073,+,membrane protein insertion efficiency factor,Function unknown,P0A8C8,ppGpp,yidD,258.0
b3705,yidC,,3885076,3886722,+,membrane protein insertase YidC,"Intracellular trafficking, secretion, and vesicular transport",P25714,"YbaQ,ppGpp",yidC,1647.0
b3706,mnmE,,3886828,3888192,+,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,"Translation, ribosomal structure and biogenesis",P25522,ppGpp,mnmE,1365.0
b3708,tnaA,,3888730,3890145,+,tryptophanase,Amino acid transport and metabolism,P0A853,"RpoD,Crp,TorR,RplD,Nac,L-tryptophan",tnaCAB,1416.0
b3709,tnaB,,3890236,3891483,+,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,P23173,"RpoD,Crp,TorR,Nac,L-tryptophan",tnaCAB,1248.0
b3710,mdtL,,3891615,3892790,+,efflux pump MdtL,Amino acid transport and metabolism,P31462,"YfeC,YeiE,YdhB,YfiE",mdtL,1176.0
b3711,yidZ,,3892765,3893724,+,putative LysR-type transcriptional regulator YidZ,Transcription,P31463,YeiE,yidZ,960.0
b3712,yieE,,3893881,3894630,+,putative phosphopantetheinyl transferase,Coenzyme transport and metabolism,P0ADM8,"RpoE,Nac,ArcA",yieEF,750.0
b3713,yieF,,3894652,3895218,+,chromate reductase,Function unknown,P0AGE6,"RpoE,ppGpp",yieEF,567.0
b3714,adeP,,3895272,3896609,-,adenine:H(+) symporter,Function unknown,P31466,ppGpp,adeP,1338.0
b3715,yieH,,3896774,3897439,+,6-phosphogluconate phosphatase,Function unknown,P31467,"YiaU,Nac",yieH,666.0
b3716,cbrB,,3897506,3897973,+,putative inner membrane protein,No COG annotation,P31468,"Nac,CreB",cbrBC,468.0
b3717,cbrC,,3898022,3898609,+,UPF0167 family colicin E2 tolerance protein CbrC,Function unknown,P31469,Nac,cbrBC,588.0
b3718,yieK,,3898671,3899393,-,putative glucosamine-6-phosphate deaminase YieK,Carbohydrate transport and metabolism,P31470,,bglH-yieLK,723.0
b3719,yieL,,3899408,3900577,-,putative hydrolase YieL,Inorganic ion transport and metabolism,P31471,,bglH-yieLK,1170.0
b3720,bglH,,3900604,3902220,-,carbohydrate-specific outer membrane porin%2C cryptic,Cell wall/membrane/envelope biogenesis,P26218,Nac,bglH-yieLK,1617.0
b3721,bglB,,3902289,3903701,-,6-phospho-beta-glucosidase B,Carbohydrate transport and metabolism,P11988,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG,Nac",bglGFB,1413.0
b3722,bglF,,3903720,3905597,-,beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase,Carbohydrate transport and metabolism,P08722,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",bglGFB,1878.0
b3723,bglG,,3905731,3906567,-,transcriptional antiterminator BglG,Transcription,P11989,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",bglGFB,837.0
b3724,phoU,,3906853,3907578,-,negative regulator of the pho regulon,Inorganic ion transport and metabolism,P0A9K7,"RpoD,RpoS,Fnr,IHF,PhoB",pstSCAB-phoU,726.0
b3725,pstB,,3907593,3908366,-,phosphate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAH0,"RpoD,RpoS,Fnr,IHF,PhoB",pstSCAB-phoU,774.0
b3726,pstA,,3908549,3909439,-,phosphate ABC transporter membrane subunit PstA,Inorganic ion transport and metabolism,P07654,"RpoD,RpoS,Fnr,IHF,PhoB",pstSCAB-phoU,891.0
b3727,pstC,,3909439,3910398,-,phosphate ABC transporter membrane subunit PstC,Inorganic ion transport and metabolism,P0AGH8,"RpoD,RpoS,Fnr,IHF,PhoB,Nac",pstSCAB-phoU,960.0
b3728,pstS,,3910485,3911525,-,phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P0AG82,"RpoD,RpoS,Fnr,ppGpp,IHF,PhoB,Nac",pstSCAB-phoU,1041.0
b3729,glmS,,3911839,3913668,-,L-glutamine--D-fructose-6-phosphate aminotransferase,Cell wall/membrane/envelope biogenesis,P17169,"RpoD,glmZ,glmY,NagC",glmUS,1830.0
b3730,glmU,,3913830,3915200,-,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,Cell wall/membrane/envelope biogenesis,P0ACC7,"RpoD,NagC",glmUS,1371.0
b3731,atpC,,3915553,3915972,-,ATP synthase F1 complex subunit epsilon,Energy production and conversion,P0A6E6,RpoD,atpIBEFHAGDC,420.0
b3732,atpD,,3915993,3917375,-,ATP synthase F1 complex subunit beta,Nucleotide transport and metabolism,P0ABB4,RpoD,atpIBEFHAGDC,1383.0
b3733,atpG,,3917402,3918265,-,ATP synthase F1 complex subunit gamma,Energy production and conversion,P0ABA6,RpoD,atpIBEFHAGDC,864.0
b3734,atpA,,3918316,3919857,-,ATP synthase F1 complex subunit alpha,Nucleotide transport and metabolism,P0ABB0,"RpoD,Lrp",atpIBEFHAGDC,1542.0
b3735,atpH,,3919870,3920403,-,ATP synthase F1 complex subunit delta,Energy production and conversion,P0ABA4,"RpoD,YeiE,Lrp",atpIBEFHAGDC,534.0
b3736,atpF,,3920418,3920888,-,ATP synthase Fo complex subunit b,Energy production and conversion,P0ABA0,RpoD,atpIBEFHAGDC,471.0
b3737,atpE,,3920950,3921189,-,ATP synthase Fo complex subunit c,Energy production and conversion,P68699,RpoD,atpIBEFHAGDC,240.0
b3738,atpB,,3921236,3922051,-,ATP synthase Fo complex subunit a,Energy production and conversion,P0AB98,"RpoD,ppGpp",atpIBEFHAGDC,816.0
b3739,atpI,,3922060,3922440,-,ATP synthase accessory factor,Energy production and conversion,P0ABC0,"RpoD,YdcR,ppGpp",atpIBEFHAGDC,381.0
b3740,rsmG,,3923057,3923680,-,16S rRNA m(7)G527 methyltransferase,"Translation, ribosomal structure and biogenesis",P0A6U5,"RpoD,RpoS,ppGpp",asnC-mioC-mnmG-rsmG,624.0
b3741,mnmG,,3923744,3925633,-,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,"Cell cycle control, cell division, chromosome partitioning",P0A6U3,"RpoD,RpoS,AsnC,Nac,ppGpp",asnC-mioC-mnmG-rsmG,1890.0
b3742,mioC,,3926012,3926455,-,flavoprotein MioC,Energy production and conversion,P03817,"RpoD,AsnC,Nac,MraZ,ppGpp",asnC-mioC-mnmG-rsmG,444.0
b3743,asnC,,3926545,3927003,-,DNA-binding transcriptional dual regulator AsnC,Transcription,P0ACI6,"RpoD,AsnC,Nac",asnC-mioC-mnmG-rsmG,459.0
b3744,asnA,,3927155,3928147,+,asparagine synthetase A,Nucleotide transport and metabolism,P00963,"RpoD,AsnC,Lrp,Nac,gcvB",asnA,993.0
b3745,viaA,,3928152,3929603,-,protein ViaA,Function unknown,P0ADN0,"RpoS,Fnr",ravA-viaA,1452.0
b3746,ravA,,3929597,3931093,-,regulatory ATPase RavA,Function unknown,P31473,"RpoS,Fnr",ravA-viaA,1497.0
b3747,kup,,3931316,3933184,+,K(+):H(+) symporter Kup,Inorganic ion transport and metabolism,P63183,ppGpp,kup,1869.0
b3748,rbsD,,3933351,3933770,+,D-ribose pyranase,Carbohydrate transport and metabolism,P04982,"RpoD,YidZ,dsrA,Crp,RbsR",rbsDACBKR,420.0
b3749,rbsA,,3933778,3935283,+,ribose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P04983,"RpoD,YciT,YeiE,YbiH,Crp,ppGpp,RbsR,dsrA",rbsDACBKR,1506.0
b3750,rbsC,,3935288,3936253,+,ribose ABC transporter membrane subunit,Carbohydrate transport and metabolism,P0AGI1,"RpoD,Crp,ppGpp,RbsR,dsrA",rbsDACBKR,966.0
b3751,rbsB,,3936278,3937168,+,ribose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,P02925,"RpoD,Crp,RbsR,dsrA,rybB",rbsDACBKR,891.0
b3752,rbsK,,3937294,3938223,+,ribokinase,Nucleotide transport and metabolism,P0A9J6,"RpoD,Crp,RbsR,dsrA",rbsDACBKR,930.0
b3753,rbsR,,3938227,3939219,+,DNA-binding transcriptional dual regulator RbsR,Transcription,P0ACQ0,"RpoD,Crp,RbsR,dsrA",rbsDACBKR,993.0
b3754,hsrA,,3939185,3940612,-,putative transporter HsrA,Amino acid transport and metabolism,P31474,,yieP-hsrA,1428.0
b3755,yieP,,3940635,3941327,-,putative transcriptional regulator YieP,Transcription,P31475,Nac,yieP-hsrA,693.0
b4480,hdfR,,3947128,3947967,-,DNA-binding transcriptional dual regulator HdfR,Transcription,P0A8R9,"RpoS,ppGpp,H-NS",hdfR,840.0
b3764,maoP,,3948086,3948424,+,macrodomain Ori protein,Function unknown,P0ADN2,"HdfR,rybB",maoP,339.0
b3765,yifB,,3948449,3949969,-,putative magnesium chelatase YifB,"Post-translational modification, protein turnover,and chaperones",P22787,Nac,yifB,1521.0
b4488,ilvG,,3950560,3952204,+,acetolactate synthase II subunit IlvG%2C N-terminal fragment (pseudogene),Coenzyme transport and metabolism,,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",,
b3769,ilvM,,3952201,3952464,+,acetolactate synthase II subunit IlvM,Amino acid transport and metabolism,P0ADG1,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",ilvLXG_1G_2MEDA,264.0
b3770,ilvE,,3952484,3953413,+,branched-chain-amino-acid aminotransferase,Amino acid transport and metabolism,P0AB80,"RpoD,ppGpp,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA",ilvLXG_1G_2MEDA,930.0
b3771,ilvD,,3953478,3955328,+,dihydroxy-acid dehydratase,Amino acid transport and metabolism,P05791,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",ilvLXG_1G_2MEDA,1851.0
b3772,ilvA,,3955331,3956875,+,threonine deaminase,Amino acid transport and metabolism,P04968,"RpoD,YfeD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",ilvLXG_1G_2MEDA,1545.0
b3773,ilvY,,3956927,3957820,-,DNA-binding transcriptional dual regulator IlvY,Transcription,P05827,"RpoD,RpoS,IlvY",ilvY,894.0
b3774,ilvC,,3957970,3959445,+,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,P05793,"RpoD,gcvB,IlvY",ilvC,1476.0
b3775,ppiC,,3959532,3959813,-,peptidyl-prolyl cis-trans isomerase C,"Post-translational modification, protein turnover,and chaperones",P0A9L5,YidZ,ppiC,282.0
b3777,yifN,,3960012,3960460,-,putative toxin YifN,Function unknown,,,,
b3778,rep,,3960677,3962698,+,ATP-dependent DNA helicase Rep,"Replication, recombination and repair",P09980,"RpoD,Nac",rep,2022.0
b3779,gpp,,3962745,3964229,-,guanosine-5'-triphosphate%2C3'-diphosphate phosphatase,Nucleotide transport and metabolism,P25552,,gpp,1485.0
b3780,rhlB,,3964365,3965630,-,ATP-dependent RNA helicase RhlB,"Translation, ribosomal structure and biogenesis",P0A8J8,,rhlB,1266.0
b3781,trxA,,3965761,3966090,+,thioredoxin 1,"Post-translational modification, protein turnover,and chaperones",P0AA25,"RpoD,Crp,ppGpp",trxA,330.0
b3782,rhoL,,3966231,3966332,+,rho operon leader peptide,No COG annotation,UPI00000D0689,,,
b3783,rho,,3966417,3967676,+,transcription termination factor Rho,Transcription,P0AG30,"YcjW,YcaN,ArcA,Rho",rhoL-rho,1260.0
b3784,rfe,,3967916,3969019,+,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,Cell wall/membrane/envelope biogenesis,P0AC78,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1104.0
b3785,wzzE,,3969031,3970077,+,enterobacterial common antigen polysaccharide co-polymerase,Cell wall/membrane/envelope biogenesis,P0AG00,"RpoD,NsrR,Nac",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1047.0
b3786,wecB,,3970133,3971263,+,UDP-N-acetylglucosamine 2-epimerase,Cell wall/membrane/envelope biogenesis,P27828,"RpoD,YcjW,NsrR,ppGpp,Lrp",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1131.0
b3787,wecC,,3971260,3972522,+,UDP-N-acetyl-D-mannosamine dehydrogenase,Cell wall/membrane/envelope biogenesis,P27829,"RpoD,NsrR,ppGpp",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1263.0
b3788,rffG,,3972522,3973589,+,dTDP-glucose 4%2C6-dehydratase 2,Cell wall/membrane/envelope biogenesis,P27830,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1068.0
b3789,rffH,,3973608,3974489,+,dTDP-glucose pyrophosphorylase 2,Coenzyme transport and metabolism,P61887,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,882.0
b3790,rffC,,3974467,3975141,+,dTDP-4-amino-4%2C6-dideoxy-D-galactose acyltransferase,Transcription,P27832,"RpoD,NsrR,ppGpp",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,675.0
b3791,wecE,,3975146,3976276,+,dTDP-4-dehydro-6-deoxy-D-glucose transaminase,Amino acid transport and metabolism,P27833,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1131.0
b3792,wzxE,,3976278,3977528,+,lipid III flippase,"Intracellular trafficking, secretion, and vesicular transport",P0AAA7,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1251.0
b4481,rffT,,3977525,3978604,+,4-acetamido-4%2C6-dideoxy-D-galactose transferase,Energy production and conversion,P56258,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1080.0
b3793,wzyE,,3978601,3979953,+,enterobacterial common antigen polymerase,Function unknown,P27835,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,1353.0
b3794,rffM,,3979956,3980696,+,UDP-N-acetyl-D-mannosaminuronic acid transferase,Cell wall/membrane/envelope biogenesis,P27836,"RpoD,NsrR",rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM,741.0
b3795,yifK,,3980887,3982272,+,putative transporter YifK,Amino acid transport and metabolism,P27837,gcvB,yifK,1386.0
b3800,aslB,,3982958,3984193,+,putative anaerobic sulfatase maturation enzyme AslB,Energy production and conversion,P25550,"Rob,YgaV,YeaM,RpoN,GadE-RcsB",aslB,1236.0
b3801,aslA,,3984352,3986007,-,arylsulfatase,Inorganic ion transport and metabolism,P25549,,aslA,1656.0
b3802,hemY,,3986686,3987882,-,protein HemY,Coenzyme transport and metabolism,P0ACB7,,hemCDXY,1197.0
b3803,hemX,,3987885,3989066,-,PF04375 family protein HemX,Coenzyme transport and metabolism,P09127,,hemCDXY,1182.0
b3804,hemD,,3989088,3989828,-,uroporphyrinogen-III synthase,Coenzyme transport and metabolism,P09126,,hemCDXY,741.0
b3805,hemC,,3989825,3990766,-,hydroxymethylbilane synthase,Coenzyme transport and metabolism,P06983,,hemCDXY,942.0
b3806,cyaA,,3991153,3993699,+,adenylate cyclase,Nucleotide transport and metabolism,P00936,"RpoD,YcjW,YfeD,Crp",cyaA,2547.0
b3807,cyaY,,3993739,3994059,-,frataxin CyaY,Inorganic ion transport and metabolism,P27838,,cyaY,321.0
b3808,yzcX,,3993850,3994335,+,protein YzcX,No COG annotation,UPI000013C2D9,YfeD,,
b4558,yifL,,3994522,3994725,+,putative lipoprotein YifL,Cell motility,P0ADN6,RpoD,yifL-dapF-yigA-xerC-yigB,204.0
b3809,dapF,,3994762,3995586,+,diaminopimelate epimerase,Amino acid transport and metabolism,P0A6K1,"RpoD,YfeD",yifL-dapF-yigA-xerC-yigB,825.0
b3810,yigA,,3995583,3996290,+,conserved protein YigA,Function unknown,P23305,RpoD,yifL-dapF-yigA-xerC-yigB,708.0
b3811,xerC,,3996287,3997183,+,site-specific tyrosine recombinase,"Cell cycle control, cell division, chromosome partitioning",P0A8P6,RpoD,yifL-dapF-yigA-xerC-yigB,897.0
b3812,yigB,,3997183,3997899,+,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,Function unknown,P0ADP0,RpoD,yifL-dapF-yigA-xerC-yigB,717.0
b3813,uvrD,,3997983,4000145,+,ssDNA translocase and dsDNA helicase - DNA helicase II,"Replication, recombination and repair",P03018,"RpoD,LexA",uvrD,2163.0
b4482,yigE,,4000292,4001056,-,DUF2233 domain-containing protein YigE,Function unknown,P27840,,yigE,765.0
b3816,corA,,4001426,4002376,+,Ni(2(+))/Co(2(+))/Mg(2(+)) transporter,Inorganic ion transport and metabolism,P0ABI4,RpoD,corA,951.0
b3817,yigF,,4002419,4002799,-,DUF2628 domain-containing protein YigF,Function unknown,P27842,,yigGF,381.0
b3818,yigG,,4002813,4003193,-,inner membrane protein,No COG annotation,P27843,GlaR,,
b3819,rarD,,4003288,4004178,-,putative transporter RarD,Function unknown,P27844,ppGpp,rarD,891.0
b3820,yigI,,4004230,4004697,-,putative thioesterase YigI,"Secondary metabolites biosynthesis, transport, and catabolism",P0ADP2,"Nac,ArcA",yigI,468.0
b3821,pldA,,4004862,4005731,+,outer membrane phospholipase A,Cell wall/membrane/envelope biogenesis,P0A921,"RpoD,Nac,ArcA",pldA,870.0
b3822,recQ,,4005864,4007693,+,ATP-dependent DNA helicase RecQ,"Replication, recombination and repair",P15043,"RpoD,LexA,ppGpp",recQ,1830.0
b3823,rhtC,,4007757,4008377,+,L-threonine exporter,Amino acid transport and metabolism,P0AG38,,rhtC,621.0
b3824,rhtB,,4008439,4009059,-,L-homoserine/L-homoserine lactone/L-threonine exporter,Amino acid transport and metabolism,P0AG34,"YcjW,Lrp",rhtB,621.0
b3825,pldB,,4009170,4010192,+,lysophospholipase L2,Lipid transport and metabolism,P07000,,pldB-yigL,1023.0
b3826,yigL,,4010200,4011000,+,phosphosugar phosphatase YigL,Function unknown,P27848,"Nac,sgrS",pldB-yigL,801.0
b3827,bioP,,4011076,4011975,+,biotin transporter,Amino acid transport and metabolism,P0ADP5,,bioP,900.0
b3828,metR,,4011863,4012816,-,DNA-binding transcriptional dual regulator MetR,Transcription,P0A9F9,"OxyR,YcfQ,YebK,MetR,MetJ,Nac",metR,954.0
b3829,metE,,4013053,4015314,+,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,P25665,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",metE,2262.0
b3830,ysgA,,4015354,4016169,-,putative dienelactone hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",P56262,"RpoD,Fnr,ppGpp,gcvB",ysgA,816.0
b3831,udp,,4016431,4017192,+,uridine phosphorylase,Nucleotide transport and metabolism,P12758,"RpoD,Crp,ppGpp,CytR",udp,762.0
b3832,rmuC,,4017333,4018760,+,putative recombination limiting protein RmuC,Function unknown,P0AG71,YbiH,rmuC,1428.0
b3833,ubiE,,4018855,4019610,+,bifunctional 2-octaprenyl-6-methoxy-1%2C4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase,Coenzyme transport and metabolism,P0A887,,ubiEJB,756.0
b3834,ubiJ,,4019624,4020229,+,ubiquinone biosynthesis accessory factor UbiJ,Function unknown,P0ADP7,,ubiEJB,606.0
b3835,ubiB,,4020226,4021866,+,ubiquinone biosynthesis protein UbiB,Coenzyme transport and metabolism,P0A6A0,,ubiEJB,1641.0
b3836,tatA,,4021945,4022214,+,twin arginine protein translocation system - TatA protein,"Intracellular trafficking, secretion, and vesicular transport",P69428,RpoD,tatABCD,270.0
b3838,tatB,,4022218,4022733,+,twin arginine protein translocation system - TatB protein,"Intracellular trafficking, secretion, and vesicular transport",P69425,RpoD,tatABCD,516.0
b3839,tatC,,4022736,4023512,+,twin arginine protein translocation system - TatC protein,"Intracellular trafficking, secretion, and vesicular transport",P69423,RpoD,tatABCD,777.0
b4483,tatD,,4023554,4024336,+,3' -> 5' ssDNA/RNA exonuclease TatD,"Replication, recombination and repair",P27859,RpoD,tatABCD,783.0
b3842,rfaH,,4024333,4024821,-,transcription antiterminator RfaH,Transcription,P0AFW0,"rirA,ppGpp,Nac",rfaH,489.0
b3843,ubiD,,4024988,4026481,+,3-octaprenyl-4-hydroxybenzoate decarboxylase,Coenzyme transport and metabolism,P0AAB4,,ubiD,1494.0
b3844,fre,,4026527,4027228,+,flavin reductase,Energy production and conversion,P0AEN1,,fre,702.0
b3845,fadA,,4027609,4028772,-,3-ketoacyl-CoA thiolase,Lipid transport and metabolism,P21151,"RpoD,YidZ,Fis,FadR,ArcA",fadBA,1164.0
b3846,fadB,,4028782,4030971,-,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,P21177,"RpoD,YidZ,Fis,FadR,ArcA",fadBA,2190.0
b3847,pepQ,,4031161,4032492,+,Xaa-Pro dipeptidase,Amino acid transport and metabolism,P21165,,pepQ-yigZ-trkH-hemG,1332.0
b3848,yigZ,,4032492,4033106,+,IMPACT family member YigZ,Function unknown,P27862,,pepQ-yigZ-trkH-hemG,615.0
b3849,trkH,,4033145,4034596,+,K(+) transporter TrkH,Inorganic ion transport and metabolism,P0AFZ7,YeiE,pepQ-yigZ-trkH-hemG,1452.0
b3850,hemG,,4034608,4035153,+,protoporphyrinogen oxidase,Coenzyme transport and metabolism,P0ACB4,,pepQ-yigZ-trkH-hemG,546.0
b3856,mobB,,4040906,4041433,-,molybdopterin-guanine dinucleotide biosynthesis adaptor protein,Coenzyme transport and metabolism,P32125,,mobAB,528.0
b3857,mobA,,4041415,4041999,-,molybdenum cofactor guanylyltransferase,Nucleotide transport and metabolism,P32173,Nac,mobAB,585.0
b3858,yihD,,4042069,4042338,+,conserved protein YihD,Function unknown,P0ADP9,"ppGpp,Nac,GlaR",yihD,270.0
b3859,srkA,,4042415,4043401,+,stress response kinase A,Nucleotide transport and metabolism,P0C0K3,"RpoD,CpxR",srkA-dsbA,987.0
b3860,dsbA,,4043418,4044044,+,thiol:disulfide oxidoreductase DsbA,"Post-translational modification, protein turnover,and chaperones",P0AEG4,"RpoD,CpxR,Nac",srkA-dsbA,627.0
b3861,yihF,,4044199,4045629,+,uncharacterized protein YihF,Function unknown,P32128,,yihF,1431.0
b3862,yihG,,4045670,4046602,-,putative acyltransferase YihG,Lipid transport and metabolism,P32129,"RpoS,ppGpp",yihG,933.0
b3863,polA,,4046966,4049752,+,DNA polymerase I,"Replication, recombination and repair",P00582,"YihL,YhjC,DnaA,Lrp,Nac",polA,2787.0
b3865,yihA,,4050133,4050765,-,GTP-binding protein YihA,"Cell cycle control, cell division, chromosome partitioning",P0A6P7,,yihA,633.0
b3866,yihI,,4051347,4051856,+,Der GTPase-activating protein YihI,Function unknown,P0A8H6,"RpoD,ppGpp",yihI,510.0
b3867,hemN,,4052045,4053418,+,coproporphyrinogen III dehydrogenase,Coenzyme transport and metabolism,P32131,"RpoD,Nac",hemN,1374.0
b4686,yshB,,4053647,4053757,-,uncharacterized protein YshB,No COG annotation,C1P620,,yshB,111.0
b3868,ntrC,,4053869,4055278,-,DNA-binding transcriptional dual regulator NtrC,Signal transduction mechanisms,P0AFB8,"RpoD,RpoN,Crp,NtrC,Fis",glnALG,1410.0
b3869,glnL,,4055290,4056339,-,sensory histidine kinase NtrB,Nucleotide transport and metabolism,P0AFB5,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",glnALG,1050.0
b3870,glnA,,4056625,4058034,-,glutamine synthetase,Nucleotide transport and metabolism,P0A9C5,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",glnALG,1410.0
b3871,bipA,,4058407,4060230,+,ribosome-dependent GTPase%2C ribosome assembly factor,Signal transduction mechanisms,P0DTT0,"YfeD,ppGpp",bipA,1824.0
b3872,yihL,,4060447,4061157,+,putative transcriptional regulator YihL,Transcription,P0ACM9,"YihL,Nac",yihLM,711.0
b3873,yihM,,4061165,4062145,+,putative TIM barrel domain-containing protein YihM,Carbohydrate transport and metabolism,P32134,GlaR,yihLM,981.0
b3874,yihN,,4062247,4063512,+,putative transporter YihN,Inorganic ion transport and metabolism,P32135,YeiE,yihN,1266.0
b3875,ompL,,4063603,4064295,-,putative outer membrane porin L,Cell wall/membrane/envelope biogenesis,P76773,,ompL,693.0
