,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS20805,PN96_RS20805,NZ_CP009978.1,1274267,1275529,-,GGDEF domain-containing protein,Signal transduction mechanisms,A0A1B1EKY1,Op1494,
PN96_RS20810,PN96_RS20810,NZ_CP009978.1,1275774,1276130,+,late competence development ComFB family protein,Function unknown,UPI000357C530,Op1495,
PN96_RS20815,PN96_RS20815,NZ_CP009978.1,1276205,1276486,+,hypothetical protein,Function unknown,A0A1B1EK84,Op1497,
PN96_RS20820,pntA,NZ_CP009978.1,1276925,1278481,+,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,Energy production and conversion,A0A3B7CVR6,Op1498,HexR
PN96_RS20825,pntB,NZ_CP009978.1,1278491,1279867,+,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,Energy production and conversion,A0A1B1EK86,Op1498,HexR
PN96_RS20830,PN96_RS20830,NZ_CP009978.1,1280024,1281478,+,sensor histidine kinase,Signal transduction mechanisms,UPI0003577B43,Op1501,
PN96_RS20835,PN96_RS20835,NZ_CP009978.1,1281453,1282121,+,response regulator transcription factor,Transcription,A0A1B1EKB8,Op1503,
PN96_RS20840,PN96_RS20840,NZ_CP009978.1,1282128,1283009,+,DUF2861 family protein,Function unknown,UPI0003576040,Op1503,
PN96_RS20845,PN96_RS20845,NZ_CP009978.1,1283069,1284196,+,conjugal transfer protein TraF,Function unknown,UPI000357161E,Op1505,
PN96_RS20850,PN96_RS20850,NZ_CP009978.1,1284239,1284403,+,YoaH family protein,Function unknown,A0A3B7CVG5,Op1506,
PN96_RS20855,PN96_RS20855,NZ_CP009978.1,1285271,1285663,+,universal stress protein,Signal transduction mechanisms,A0A1B1EKK5,Op1507,
PN96_RS20860,PN96_RS20860,NZ_CP009978.1,1285740,1285961,-,hypothetical protein,No COG annotation,A0A1B1EKW9,Op1508,
PN96_RS20865,PN96_RS20865,NZ_CP009978.1,1286322,1286543,-,hypothetical protein,No COG annotation,A0A3B7D2B5,Op1509,
PN96_RS20875,yciH,NZ_CP009978.1,1287769,1288080,-,stress response translation initiation inhibitor YciH,"Translation, ribosomal structure and biogenesis",A0A1B1EK72,Op1511,
PN96_RS20880,PN96_RS20880,NZ_CP009978.1,1288085,1288465,-,DUF3319 domain-containing protein,Function unknown,A0A1B1EKF2,Op1511,QstR
PN96_RS20885,PN96_RS20885,NZ_CP009978.1,1288580,1289569,-,D-alanine--D-alanine ligase,Nucleotide transport and metabolism,UPI0003574542,Op1513,
PN96_RS20890,PN96_RS20890,NZ_CP009978.1,1289719,1290288,-,SPOR domain-containing protein,Function unknown,UPI0004629AD4,Op1515,
PN96_RS20895,PN96_RS20895,NZ_CP009978.1,1290532,1293165,+,bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase,Energy production and conversion,UPI000243B9BD,Op1516,
PN96_RS20900,PN96_RS20900,NZ_CP009978.1,1293279,1294166,-,LysR family transcriptional regulator,Transcription,A0A3B7CWX5,Op1520,Fur
PN96_RS20905,galE,NZ_CP009978.1,1294751,1295770,-,UDP-glucose 4-epimerase GalE,Cell wall/membrane/envelope biogenesis,UPI000356FCF5,Op1523,
PN96_RS20910,PN96_RS20910,NZ_CP009978.1,1295836,1297755,-,diguanylate cyclase,Signal transduction mechanisms,UPI0003576F63,Op1525,
PN96_RS20915,PN96_RS20915,NZ_CP009978.1,1298045,1298800,+,LamB/YcsF family protein,Function unknown,UPI000357FEF2,Op1527,
PN96_RS20920,PN96_RS20920,NZ_CP009978.1,1298800,1299483,+,allophanate hydrolase subunit 1,Amino acid transport and metabolism,UPI0003581711,Op1527,
PN96_RS20925,PN96_RS20925,NZ_CP009978.1,1299480,1300415,+,biotin-dependent carboxyltransferase family protein,Amino acid transport and metabolism,UPI000357CD53,Op1527,
PN96_RS20930,PN96_RS20930,NZ_CP009978.1,1300440,1301873,-,FAD-dependent oxidoreductase,Energy production and conversion,UPI0003574C1A,Op1531,
PN96_RS20935,PN96_RS20935,NZ_CP009978.1,1302217,1304673,-,FtsX-like permease family protein,"Secondary metabolites biosynthesis, transport, and catabolism",UPI000357A2E2,Op1533,QstR
PN96_RS20940,PN96_RS20940,NZ_CP009978.1,1304673,1305365,-,ABC transporter ATP-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A3B7CY09,Op1533,
PN96_RS20945,PN96_RS20945,NZ_CP009978.1,1305364,1305966,+,arylesterase,Amino acid transport and metabolism,A0A1B1EK63,Op1538,
PN96_RS20950,PN96_RS20950,NZ_CP009978.1,1306049,1307248,+,trans-2-enoyl-CoA reductase family protein,Lipid transport and metabolism,UPI000357A57E,Op1539,
PN96_RS20955,PN96_RS20955,NZ_CP009978.1,1307438,1309360,+,EAL domain-containing protein,Signal transduction mechanisms,UPI00035773D4,Op1542,
PN96_RS20960,PN96_RS20960,NZ_CP009978.1,1309484,1311139,+,ABC-ATPase domain-containing protein,Function unknown,UPI00035755A9,Op1544,QstR
PN96_RS20965,PN96_RS20965,NZ_CP009978.1,1311186,1311800,-,DnaJ domain-containing protein,"Post-translational modification, protein turnover, and chaperones",UPI001376B69F,Op1548,
PN96_RS20970,PN96_RS20970,NZ_CP009978.1,1311876,1312715,-,isopenicillin N synthase family oxygenase,Energy production and conversion,UPI000243B9CB,Op1549,
PN96_RS20975,PN96_RS20975,NZ_CP009978.1,1312977,1313573,+,DUF2238 domain-containing protein,Function unknown,A0A3B7CVN9,Op1550,
PN96_RS20980,PN96_RS20980,NZ_CP009978.1,1313535,1313867,-,divalent-cation tolerance protein CutA,Inorganic ion transport and metabolism,A0A1B1EK77,Op1551,
PN96_RS20985,PN96_RS20985,NZ_CP009978.1,1313878,1314129,-,hypothetical protein,No COG annotation,A0A1B1EK53,Op1551,
PN96_RS20990,PN96_RS20990,NZ_CP009978.1,1314136,1315833,-,SgrR family transcriptional regulator,Transcription,UPI000357D829,Op1551,
PN96_RS20995,PN96_RS20995,NZ_CP009978.1,1315913,1316146,-,DUF3389 domain-containing protein,Function unknown,A0A1B1EK82,Op1554,
PN96_RS21000,PN96_RS21000,NZ_CP009978.1,1316159,1316587,-,hotdog fold thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A3B7CWV4,Op1554,
PN96_RS21005,PN96_RS21005,NZ_CP009978.1,1316758,1317546,+,M48 family metallopeptidase,"Post-translational modification, protein turnover, and chaperones",UPI000357C60B,Op1556,
PN96_RS21010,PN96_RS21010,NZ_CP009978.1,1317625,1318653,-,site-2 protease family protein,Function unknown,A0A1B1EKH9,Op1557,
PN96_RS21015,PN96_RS21015,NZ_CP009978.1,1319068,1320309,+,outer membrane protein transport protein,Lipid transport and metabolism,UPI000357D400,Op1559,
PN96_RS21020,PN96_RS21020,NZ_CP009978.1,1320331,1322739,+,lipase,Lipid transport and metabolism,UPI000356FA03,Op1559,
PN96_RS21025,PN96_RS21025,NZ_CP009978.1,1323036,1323593,+,alkylphosphonate utilization protein,Inorganic ion transport and metabolism,A0A1B1EK47,Op1562,
PN96_RS21030,PN96_RS21030,NZ_CP009978.1,1323751,1323942,-,hypothetical protein,No COG annotation,UPI000357B8CC,Op1564,TfoX
PN96_RS21035,ykoY,NZ_CP009978.1,1324220,1325239,-,TerC family protein,Inorganic ion transport and metabolism,UPI00035737B6,Op1565,yybP-ykoY
PN96_RS21040,PN96_RS21040,NZ_CP009978.1,1325763,1327505,-,bifunctional metallophosphatase/5'-nucleotidase,Nucleotide transport and metabolism,UPI000357FFE3,Op1566,Crp
PN96_RS21045,PN96_RS21045,NZ_CP009978.1,1327764,1329398,+,ATP-dependent endonuclease,"Replication, recombination and repair",A0A1B1EK70,Op1570,Crp
PN96_RS21050,PN96_RS21050,NZ_CP009978.1,1329526,1330011,-,DUF1097 domain-containing protein,Function unknown,A0A1B1EK42,Op1571,
PN96_RS21055,PN96_RS21055,NZ_CP009978.1,1330238,1331143,-,LysR family transcriptional regulator,Transcription,A0A1B1EK48,Op1572,
PN96_RS21060,focA,NZ_CP009978.1,1331401,1332852,+,formate transporter FocA,Inorganic ion transport and metabolism,UPI0003582B12,Op1574,HapR
PN96_RS21065,PN96_RS21065,NZ_CP009978.1,1332942,1333511,-,YceI family protein,Function unknown,A0A1B1EKS8,Op1577,
PN96_RS21070,PN96_RS21070,NZ_CP009978.1,1333508,1334047,-,cytochrome b,Energy production and conversion,UPI000357D3E0,Op1577,
PN96_RS21075,PN96_RS21075,NZ_CP009978.1,1334217,1334459,-,DUF2164 domain-containing protein,Function unknown,A0A1B1EK37,Op1579,
PN96_RS21080,PN96_RS21080,NZ_CP009978.1,1334666,1335298,+,hypothetical protein,No COG annotation,A0A3B7CWG8,Op1580,
PN96_RS21085,PN96_RS21085,NZ_CP009978.1,1335479,1336267,+,EAL domain-containing protein,Signal transduction mechanisms,A0A1B1EK31,Op1582,QstR
PN96_RS21090,PN96_RS21090,NZ_CP009978.1,1336355,1337608,-,DEAD/DEAH box helicase,"Translation, ribosomal structure and biogenesis",UPI000357ABF6,Op1584,
PN96_RS21095,PN96_RS21095,NZ_CP009978.1,1337676,1338272,-,ACP phosphodiesterase,Function unknown,UPI000357309F,Op1585,
PN96_RS21100,PN96_RS21100,NZ_CP009978.1,1338823,1340253,+,methyl-accepting chemotaxis protein,Cell motility,UPI000356E46E,Op1587,
PN96_RS21110,PN96_RS21110,NZ_CP009978.1,1340724,1341392,-,HAD-IA family hydrolase,Function unknown,UPI00035733DB,Op1588,
PN96_RS21115,PN96_RS21115,NZ_CP009978.1,1341748,1342257,-,hypothetical protein,No COG annotation,UPI000243BAD4,Op1590,
PN96_RS21120,PN96_RS21120,NZ_CP009978.1,1342518,1342991,+,CreA family protein,Function unknown,UPI00035820AE,Op1591,
PN96_RS21125,PN96_RS21125,NZ_CP009978.1,1343122,1344426,+,inosine/guanosine kinase,Carbohydrate transport and metabolism,A0A1B1EK80,Op1592,"Crp,TfoX"
PN96_RS21130,fhs,NZ_CP009978.1,1344648,1346396,+,formate--tetrahydrofolate ligase,Nucleotide transport and metabolism,UPI00035761D4,Op1593,PurR
PN96_RS21135,glgC,NZ_CP009978.1,1346756,1347970,+,glucose-1-phosphate adenylyltransferase,Coenzyme transport and metabolism,A0A3B7CXW3,Op1595,
PN96_RS21140,chitodextrinase,NZ_CP009978.1,1348049,1351216,-,chitinase C-terminal domain-containing protein,Carbohydrate transport and metabolism,UPI0003581C34,Op1596,TfoX
PN96_RS21145,PN96_RS21145,NZ_CP009978.1,1351493,1352374,-,AraC family transcriptional regulator,Transcription,UPI0003572566,Op1597,
PN96_RS21150,PN96_RS21150,NZ_CP009978.1,1352581,1353729,+,iron-containing alcohol dehydrogenase,Energy production and conversion,UPI000357CA37,Op1598,
PN96_RS21155,PN96_RS21155,NZ_CP009978.1,1354023,1354682,+,lysoplasmalogenase,Function unknown,UPI0003574933,Op1600,
PN96_RS21160,PN96_RS21160,NZ_CP009978.1,1354814,1355548,+,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,UPI0003573A77,Op1601,
PN96_RS21165,PN96_RS21165,NZ_CP009978.1,1355548,1356345,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,UPI000357B38E,Op1601,
PN96_RS21170,PN96_RS21170,NZ_CP009978.1,1356355,1357173,+,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A3B7CVK8,Op1601,
PN96_RS21175,PN96_RS21175,NZ_CP009978.1,1357250,1358170,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,UPI0003580570,Op1603,
PN96_RS21180,PN96_RS21180,NZ_CP009978.1,1358235,1358756,-,RNA-binding S4 domain-containing protein,Function unknown,A0A3B7D2C3,Op1605,
PN96_RS21185,PN96_RS21185,NZ_CP009978.1,1358949,1359902,+,endonuclease/exonuclease/phosphatase family protein,"Replication, recombination and repair",UPI000357892B,Op1608,
PN96_RS21190,FruR,NZ_CP009978.1,1359920,1360900,-,catabolite repressor/activator,Transcription,A0A3B7CXR6,Op1610,FruR
PN96_RS21195,fruB,NZ_CP009978.1,1361278,1362411,+,fused PTS fructose transporter subunit IIA/HPr protein,Carbohydrate transport and metabolism,UPI0003574D3B,Op1612,FruR
PN96_RS21200,fruK,NZ_CP009978.1,1362421,1363395,+,1-phosphofructokinase,Coenzyme transport and metabolism,A0A3B7CVA0,Op1612,FruR
PN96_RS21205,fruA,NZ_CP009978.1,1363415,1365148,+,PTS fructose transporter subunit IIBC,Carbohydrate transport and metabolism,A0A1B1EK08,Op1612,FruR
PN96_RS21210,PN96_RS21210,NZ_CP009978.1,1365296,1368355,-,efflux RND transporter permease subunit,Defense mechanisms,UPI000357BEAB,Op1613,
PN96_RS21215,PN96_RS21215,NZ_CP009978.1,1368352,1369416,-,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,UPI000357067B,Op1613,
PN96_RS21220,PN96_RS21220,NZ_CP009978.1,1369416,1370447,-,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,UPI001267BC80,Op1613,
PN96_RS21225,PN96_RS21225,NZ_CP009978.1,1370649,1371374,+,TetR/AcrR family transcriptional regulator,Transcription,A0A1B1EK65,Op1615,
PN96_RS21230,gcvT,NZ_CP009978.1,1371492,1372610,-,glycine cleavage system aminomethyltransferase GcvT,Coenzyme transport and metabolism,A0A3B7CWD9,Op1616,
PN96_RS21235,PN96_RS21235,NZ_CP009978.1,1372874,1373497,-,XRE family transcriptional regulator,Transcription,UPI0003578B23,Op1617,
PN96_RS21240,PN96_RS21240,NZ_CP009978.1,1373889,1375184,+,serine hydroxymethyltransferase,Amino acid transport and metabolism,A0A1B1EJZ7,Op1618,
PN96_RS21245,gcvH,NZ_CP009978.1,1375221,1375601,+,glycine cleavage system protein GcvH,Amino acid transport and metabolism,A0A1B1EK83,Op1618,
PN96_RS21250,gcvP,NZ_CP009978.1,1375714,1378578,+,aminomethyl-transferring glycine dehydrogenase,Amino acid transport and metabolism,UPI000358329C,Op1618,
PN96_RS21255,PN96_RS21255,NZ_CP009978.1,1378943,1379446,+,hypothetical protein,No COG annotation,UPI00035732F0,Op1622,
PN96_RS21260,PN96_RS21260,NZ_CP009978.1,1379477,1379824,+,Hpt domain-containing protein,No COG annotation,A0A3B7CV94,Op1622,
PN96_RS21265,PN96_RS21265,NZ_CP009978.1,1379850,1380041,+,hypothetical protein,No COG annotation,A0A1B1ELM9,Op1622,
PN96_RS21270,PN96_RS21270,NZ_CP009978.1,1380210,1380473,-,hypothetical protein,No COG annotation,A0A3B7D353,Op1625,
PN96_RS21275,PN96_RS21275,NZ_CP009978.1,1380714,1381328,-,glutathione S-transferase,"Post-translational modification, protein turnover, and chaperones",UPI000357E336,Op1627,
PN96_RS21280,PN96_RS21280,NZ_CP009978.1,1381471,1382046,+,TetR/AcrR family transcriptional regulator,Transcription,UPI00035803A7,Op1628,
PN96_RS21285,PN96_RS21285,NZ_CP009978.1,1382048,1382458,+,DNA-binding protein,Function unknown,UPI00035787BF,Op1628,
PN96_RS21290,PN96_RS21290,NZ_CP009978.1,1382554,1383297,-,carboxypeptidase,Cell wall/membrane/envelope biogenesis,UPI0003575F6C,Op1630,
PN96_RS21295,PN96_RS21295,NZ_CP009978.1,1383710,1385281,-,DUF2235 domain-containing protein,Function unknown,UPI000356FF93,Op1631,
PN96_RS21300,PN96_RS21300,NZ_CP009978.1,1385737,1386735,+,branched-chain amino acid aminotransferase,Amino acid transport and metabolism,A0A1B1EK75,Op1634,
PN96_RS21305,PN96_RS21305,NZ_CP009978.1,1387172,1387951,+,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,UPI0003575B7F,Op1635,
PN96_RS21310,PN96_RS21310,NZ_CP009978.1,1388058,1389011,-,glycosyl transferase family protein,Amino acid transport and metabolism,UPI0003577FFD,Op1636,
PN96_RS21315,PN96_RS21315,NZ_CP009978.1,1389830,1391083,+,septum formation initiator,Amino acid transport and metabolism,UPI000357F7E0,Op1637,
PN96_RS21320,PN96_RS21320,NZ_CP009978.1,1391526,1392455,-,SRPBCC family protein,Transcription,UPI0003583350,Op1638,
PN96_RS21325,PN96_RS21325,NZ_CP009978.1,1392614,1392898,+,hypothetical protein,No COG annotation,A0A1B1EKB5,Op1639,
PN96_RS21330,PN96_RS21330,NZ_CP009978.1,1392964,1394016,-,hypothetical protein,No COG annotation,UPI0003581456,Op1640,
PN96_RS21335,PN96_RS21335,NZ_CP009978.1,1394399,1394860,+,hypothetical protein,No COG annotation,UPI0004162743,Op1641,
PN96_RS21340,PN96_RS21340,NZ_CP009978.1,1394950,1395423,+,copper chaperone PCu(A)C,Function unknown,UPI00035815BD,Op1642,
PN96_RS21345,yegD,NZ_CP009978.1,1395488,1396840,-,molecular chaperone,"Post-translational modification, protein turnover, and chaperones",A0A1B1EK04,Op1643,
PN96_RS21350,PN96_RS21350,NZ_CP009978.1,1396913,1397539,-,hypothetical protein,No COG annotation,UPI000357EEA7,Op1644,
PN96_RS21355,PN96_RS21355,NZ_CP009978.1,1397646,1397966,-,DOPA 4%2C5-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A1B1EK64,Op1645,
PN96_RS21360,pdhA,NZ_CP009978.1,1398636,1399730,+,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Energy production and conversion,A0A1B1EK16,Op1646,
PN96_RS21365,PN96_RS21365,NZ_CP009978.1,1399723,1400706,+,alpha-ketoacid dehydrogenase subunit beta,Energy production and conversion,A0A1B1EJY0,Op1646,
PN96_RS21370,PN96_RS21370,NZ_CP009978.1,1400703,1401851,+,2-oxo acid dehydrogenase subunit E2,Energy production and conversion,UPI000357ACD5,Op1646,
PN96_RS21375,etfD2,NZ_CP009978.1,1402054,1403715,+,electron transfer flavoprotein-ubiquinone oxidoreductase,Energy production and conversion,UPI0003579AC9,Op1647,LiuR
PN96_RS21380,PN96_RS21380,NZ_CP009978.1,1403809,1406637,+,AMP-binding protein,Lipid transport and metabolism,UPI0003582361,Op1649,
PN96_RS21385,PN96_RS21385,NZ_CP009978.1,1406727,1407506,-,DeoR/GlpR family DNA-binding transcription regulator,Transcription,UPI0003572EE5,Op1653,
PN96_RS21390,PN96_RS21390,NZ_CP009978.1,1407837,1408880,+,oxidoreductase,Function unknown,UPI000356EAA7,Op1655,
PN96_RS21395,PN96_RS21395,NZ_CP009978.1,1408891,1409364,+,heme-degrading domain-containing protein,Function unknown,UPI000462A0ED,Op1655,
PN96_RS21400,PN96_RS21400,NZ_CP009978.1,1409428,1410390,-,sel1 repeat family protein,Function unknown,UPI0003579DF4,Op1656,
PN96_RS21405,PN96_RS21405,NZ_CP009978.1,1410395,1411084,-,tail fiber protein,Function unknown,A0A1B1EJX2,Op1656,
PN96_RS21410,acsA,NZ_CP009978.1,1411389,1413125,+,acetate--CoA ligase,Nucleotide transport and metabolism,UPI000357932E,Op1657,
PN96_RS21415,pdhA,NZ_CP009978.1,1413122,1415128,+,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Energy production and conversion,UPI0003579E80,Op1657,
PN96_RS21420,PN96_RS21420,NZ_CP009978.1,1415142,1416455,+,2-oxo acid dehydrogenase subunit E2,Energy production and conversion,UPI0003579A15,Op1657,
PN96_RS21425,PN96_RS21425,NZ_CP009978.1,1416452,1416697,+,acyl carrier protein,Lipid transport and metabolism,A0A1B1EJY6,Op1657,
PN96_RS21430,ppsA,NZ_CP009978.1,1416759,1419173,+,phosphoenolpyruvate synthase,Coenzyme transport and metabolism,UPI0003573DBC,Op1662,
PN96_RS21435,PN96_RS21435,NZ_CP009978.1,1419191,1420012,-,oxidoreductase,Energy production and conversion,UPI00040BBFFA,Op1666,
PN96_RS21440,PN96_RS21440,NZ_CP009978.1,1420005,1421057,-,4Fe-4S dicluster domain-containing protein,Energy production and conversion,UPI000356E348,Op1666,
PN96_RS21445,fdhF,NZ_CP009978.1,1421054,1423246,-,formate dehydrogenase subunit alpha,Energy production and conversion,UPI0003571E2A,Op1666,
PN96_RS21450,PN96_RS21450,NZ_CP009978.1,1423507,1426224,+,cation-transporting P-type ATPase,Inorganic ion transport and metabolism,UPI00071FA1C3,Op1671,
PN96_RS21455,PN96_RS21455,NZ_CP009978.1,1426217,1426789,-,protocatechuate 3%2C4-dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",UPI000356FDA6,Op1673,
PN96_RS21460,PN96_RS21460,NZ_CP009978.1,1427142,1428932,+,S8 family serine peptidase,Cell wall/membrane/envelope biogenesis,UPI0003579C14,Op1675,
PN96_RS21465,PN96_RS21465,NZ_CP009978.1,1429020,1429588,+,NAD-dependent epimerase/dehydratase family protein,Carbohydrate transport and metabolism,,Op1677,
PN96_RS21475,PN96_RS21475,NZ_CP009978.1,1430117,1431655,+,sigma-54-dependent Fis family transcriptional regulator,Transcription,UPI000357993C,Op1678,
PN96_RS21480,PN96_RS21480,NZ_CP009978.1,1431791,1433992,-,D-(-)-3-hydroxybutyrate oligomer hydrolase,Cell wall/membrane/envelope biogenesis,UPI0003F89B6E,Op1680,
PN96_RS24075,PN96_RS24075,NZ_CP009978.1,1434294,1434431,+,helix-turn-helix domain-containing protein,Transcription,UPI0009761A6A,Op1683,
PN96_RS21490,PN96_RS21490,NZ_CP009978.1,1434891,1436660,-,solute:sodium symporter family transporter,Function unknown,UPI00035767FB,Op1685,
PN96_RS21495,PN96_RS21495,NZ_CP009978.1,1436776,1438878,-,alpha-galactosidase,Carbohydrate transport and metabolism,UPI000357905B,Op1686,
PN96_RS21500,PN96_RS21500,NZ_CP009978.1,1439128,1440207,+,substrate-binding domain-containing protein,Transcription,UPI0004193096,Op1687,
PN96_RS21505,PN96_RS21505,NZ_CP009978.1,1440409,1441005,-,tyrosine-type recombinase/integrase,"Replication, recombination and repair",UPI0003582D26,Op1689,
PN96_RS21510,PN96_RS21510,NZ_CP009978.1,1441283,1441774,+,VOC family protein,Amino acid transport and metabolism,UPI0003575210,Op1691,
PN96_RS21515,PN96_RS21515,NZ_CP009978.1,1441889,1442782,-,LysR family transcriptional regulator,Transcription,UPI000401EAA2,Op1692,
PN96_RS21520,PN96_RS21520,NZ_CP009978.1,1443109,1443588,-,GNAT family N-acetyltransferase,Transcription,UPI0004628395,Op1694,
PN96_RS21525,PN96_RS21525,NZ_CP009978.1,1443684,1444601,+,LysR family transcriptional regulator,Transcription,UPI00046294C6,Op1696,
PN96_RS21530,PN96_RS21530,NZ_CP009978.1,1445152,1446213,-,alpha/beta hydrolase fold domain-containing protein,Lipid transport and metabolism,UPI00035759F0,Op1698,
PN96_RS21535,PN96_RS21535,NZ_CP009978.1,1446406,1447329,+,LysR family transcriptional regulator,Transcription,UPI0004A4DF65,Op1700,
PN96_RS21540,PN96_RS21540,NZ_CP009978.1,1447337,1448266,+,LysR family transcriptional regulator,Transcription,UPI00034B927C,Op1700,
PN96_RS21545,PN96_RS21545,NZ_CP009978.1,1448396,1449349,+,DUF2860 family protein,Function unknown,UPI00035736CF,Op1703,
PN96_RS21550,PN96_RS21550,NZ_CP009978.1,1449908,1450387,-,DUF1456 family protein,Function unknown,UPI0003578044,Op1706,
PN96_RS21555,PN96_RS21555,NZ_CP009978.1,1450778,1452094,-,DUF1214 domain-containing protein,Function unknown,UPI00191BF7DB,Op1708,
PN96_RS21560,PN96_RS21560,NZ_CP009978.1,1452260,1453141,+,LysR family transcriptional regulator,Transcription,UPI00035764A8,Op1710,
PN96_RS21565,PN96_RS21565,NZ_CP009978.1,1453331,1454413,-,membrane protein,Function unknown,A0A3B7D7C9,Op1711,
PN96_RS21570,PN96_RS21570,NZ_CP009978.1,1455358,1459134,-,S8 family serine peptidase,Cell wall/membrane/envelope biogenesis,UPI000357EED1,Op1712,
PN96_RS21575,PN96_RS21575,NZ_CP009978.1,1460445,1461038,-,cysteine dioxygenase,Function unknown,UPI0003571B04,Op1717,
PN96_RS21580,PN96_RS21580,NZ_CP009978.1,1461159,1461629,-,nucleoside deaminase,Nucleotide transport and metabolism,UPI000357C524,Op1718,
PN96_RS21585,PN96_RS21585,NZ_CP009978.1,1461773,1462663,+,LysR family transcriptional regulator,Transcription,UPI0003571A6A,Op1719,
PN96_RS21590,thpR,NZ_CP009978.1,1462699,1463229,+,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",UPI0003FC3B29,Op1719,
PN96_RS21595,PN96_RS21595,NZ_CP009978.1,1463314,1464741,-,alanine:cation symporter family protein,Amino acid transport and metabolism,A0A3B7CXL3,Op1721,
PN96_RS21600,artM,NZ_CP009978.1,1465055,1465723,-,arginine ABC transporter permease ArtM,Inorganic ion transport and metabolism,A0A3B7CWK5,Op1724,ArgR
PN96_RS21605,artQ,NZ_CP009978.1,1465720,1466409,-,arginine ABC transporter permease ArtQ,Inorganic ion transport and metabolism,A0A3B7CV47,Op1724,ArgR
PN96_RS21610,PN96_RS21610,NZ_CP009978.1,1466411,1467142,-,lysine/arginine/ornithine ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A1B1EK29,Op1724,ArgR
PN96_RS21615,artP,NZ_CP009978.1,1467243,1467986,-,arginine ABC transporter ATP-binding protein ArtP,Amino acid transport and metabolism,A0A1B1EJX8,Op1726,ArgR
PN96_RS21620,PN96_RS21620,NZ_CP009978.1,1468382,1469767,-,FAD-binding oxidoreductase,Energy production and conversion,UPI0003582438,Op1728,
PN96_RS21625,katG,NZ_CP009978.1,1470648,1472822,+,catalase/peroxidase HPI,Inorganic ion transport and metabolism,UPI00035726CA,Op1732,
PN96_RS21630,PN96_RS21630,NZ_CP009978.1,1472914,1473564,-,hypothetical protein,No COG annotation,UPI0003582E3A,Op1737,
PN96_RS21635,PN96_RS21635,NZ_CP009978.1,1473576,1474577,-,5'/3'-nucleotidase SurE,Function unknown,UPI000462DCFF,Op1737,
PN96_RS21640,PN96_RS21640,NZ_CP009978.1,1474742,1475863,-,hypothetical protein,No COG annotation,UPI0003571DDA,Op1739,
PN96_RS21645,PN96_RS21645,NZ_CP009978.1,1475863,1476687,-,hypothetical protein,No COG annotation,UPI0003577161,Op1739,
PN96_RS21650,PN96_RS21650,NZ_CP009978.1,1477010,1477918,+,homocysteine S-methyltransferase family protein,Coenzyme transport and metabolism,UPI000356FA47,Op1743,
PN96_RS21655,PN96_RS21655,NZ_CP009978.1,1477926,1479257,+,basic amino acid/polyamine antiporter,Amino acid transport and metabolism,UPI0003574763,Op1743,
PN96_RS21660,PN96_RS21660,NZ_CP009978.1,1479345,1479950,-,TetR/AcrR family transcriptional regulator,Transcription,UPI00035718B1,Op1746,
PN96_RS21665,PN96_RS21665,NZ_CP009978.1,1480116,1481159,+,alkene reductase,Energy production and conversion,UPI000357574D,Op1748,
PN96_RS21670,PN96_RS21670,NZ_CP009978.1,1481223,1481960,-,DUF3726 domain-containing protein,Energy production and conversion,UPI0003580E1B,Op1750,
PN96_RS21675,PN96_RS21675,NZ_CP009978.1,1481957,1483693,-,hypothetical protein,Transcription,UPI00035768CD,Op1750,
PN96_RS21680,PN96_RS21680,NZ_CP009978.1,1483795,1485396,-,BCCT family transporter,Cell wall/membrane/envelope biogenesis,UPI000357B467,Op1753,
PN96_RS21685,PN96_RS21685,NZ_CP009978.1,1485506,1486495,-,membrane dipeptidase,Amino acid transport and metabolism,UPI000356F23F,Op1754,
PN96_RS21690,PN96_RS21690,NZ_CP009978.1,1486565,1488025,-,aldehyde dehydrogenase family protein,Energy production and conversion,UPI000357D9B0,Op1756,
PN96_RS21695,PN96_RS21695,NZ_CP009978.1,1488101,1488499,-,RidA family protein,"Translation, ribosomal structure and biogenesis",UPI000462A6CE,Op1757,
PN96_RS21700,PN96_RS21700,NZ_CP009978.1,1488655,1489545,+,LysR family transcriptional regulator,Transcription,UPI0003576506,Op1758,
