,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA4463,PA4463,,4994441,4994749,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9HVV5,
PA4464,ptsN,,4994763,4995227,+,nitrogen regulatory IIA protein,Carbohydrate transport and metabolism,Q9HVV4,
PA4465,PA4465,,4995229,4996089,+,hypothetical protein,Function unknown,Q9HVV3,
PA4466,PA4466,,4996119,4996391,+,phosphoryl carrier protein,Carbohydrate transport and metabolism,Q9HVV2,
PA4467,PA4467,,4996488,4997420,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HVV1,
PA4468,sodM,,4997439,4998050,-,superoxide dismutase,Inorganic ion transport and metabolism,P53652,
PA4469,PA4469,,4998063,4998512,-,hypothetical protein,No COG annotation,Q9HVV0,
PA4470,fumC1,,4998540,4999916,-,fumarate hydratase,Energy production and conversion,Q51404,
PA4471,PA4471,,4999909,5000304,-,hypothetical protein,Function unknown,G3XD99,
PA4472,pmbA,,5000452,5001801,-,PmbA protein,Function unknown,Q9HVU9,
PA4473,PA4473,,5001822,5002424,+,hypothetical protein,Function unknown,Q9HVU8,
PA4474,PA4474,,5002455,5003897,-,hypothetical protein,Function unknown,Q9HVU7,
PA4475,PA4475,,5003900,5004748,-,hypothetical protein,Function unknown,Q9HVU6,
PA4476,PA4476,,5004798,5008628,-,hypothetical protein,Function unknown,Q9HVU5,
PA4477,cafA,,5008643,5010100,-,cytoplasmic axial filament protein,"Translation, ribosomal structure and biogenesis",Q9HVU4,
PA4478,PA4478,,5010134,5010739,-,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q9HVU3,
PA4479,mreD,,5010828,5011322,-,rod shape-determining protein MreD,Cell wall/membrane/envelope biogenesis,Q9HVU2,
PA4480,mreC,,5011322,5012314,-,rod shape-determining protein MreC,Cell wall/membrane/envelope biogenesis,Q9HVU1,
PA4481,mreB,,5012394,5013431,-,rod shape-determining protein MreB,"Cell cycle control, cell division, chromosome partitioning",Q9HVU0,
PA4482,gatC,,5013671,5013961,+,aspartyl/glutamyl-tRNA amidotransferase subunit C,"Translation, ribosomal structure and biogenesis",Q9HVT9,
PA4483,gatA,,5013974,5015428,+,aspartyl/glutamyl-tRNA amidotransferase subunit A,"Translation, ribosomal structure and biogenesis",Q9HVT8,
PA4484,gatB,,5015535,5016980,+,aspartyl/glutamyl-tRNA amidotransferase subunit B,"Translation, ribosomal structure and biogenesis",Q9HVT7,
PA4485,PA4485,,5017040,5017417,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HVT6,
PA4486,PA4486,,5017449,5017835,+,hypothetical protein,Function unknown,Q9HVT5,
PA4487,PA4487,,5017960,5018751,-,hypothetical protein,Function unknown,Q9HVT4,
PA4488,PA4488,,5018756,5020405,-,hypothetical protein,Function unknown,Q9HVT3,
PA4489,PA4489,,5020402,5024952,-,hypothetical protein,Function unknown,Q9HVT2,
PA4490,PA4490,,5024979,5025617,-,hypothetical protein,Function unknown,Q9HVT1,
PA4491,PA4491,,5025614,5027383,-,hypothetical protein,Function unknown,Q9HVT0,
PA4492,PA4492,,5027422,5028231,-,hypothetical protein,Function unknown,Q9HVS9,
PA4493,roxR,,5028394,5028954,-,DNA-binding response regulator RoxR,Transcription,Q9HVS8,
PA4494,roxS,,5028980,5030248,-,sensor histidine kinase RoxS,Signal transduction mechanisms,Q9HVS7,
PA4495,PA4495,,5030525,5031235,+,hypothetical protein,Function unknown,Q9HVS6,
PA4496,PA4496,,5031488,5033101,+,ABC transporter,Amino acid transport and metabolism,Q9HVS5,
PA4497,PA4497,,5033194,5034792,+,ABC transporter,Amino acid transport and metabolism,Q9HVS4,
PA4498,PA4498,,5034860,5036077,-,metallopeptidase,Amino acid transport and metabolism,Q9HVS3,
PA4499,PA4499,,5036245,5036808,+,transcriptional regulator,Transcription,Q9HVS2,
PA4500,PA4500,,5037074,5038675,+,ABC transporter,Amino acid transport and metabolism,Q9HVS1,
PA4501,opdP,,5038901,5040355,+,glycine-glutamate dipeptide porin OpdP,Function unknown,Q9HVS0,
PA4502,PA4502,,5040405,5042000,+,ABC transporter,Amino acid transport and metabolism,Q9HVR9,
PA4503,PA4503,,5042068,5043078,+,ABC transporter permease,Amino acid transport and metabolism,Q9HVR8,
PA4504,PA4504,,5043090,5044001,+,ABC transporter permease,Amino acid transport and metabolism,Q9HVR7,
PA4505,PA4505,,5044054,5045028,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HVR6,
PA4506,PA4506,,5045028,5045999,+,peptide ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HVR5,
PA4507,PA4507,,5046032,5046664,-,hypothetical protein,Amino acid transport and metabolism,Q9HVR4,
PA4508,PA4508,,5046806,5047279,+,transcriptional regulator,Transcription,Q9HVR3,
PA4509,PA4509,,5047284,5048213,-,hypothetical protein,Amino acid transport and metabolism,Q9HVR2,
PA4510,PA4510,,5048210,5048887,-,hypothetical protein,Amino acid transport and metabolism,Q9HVR1,
PA4511,PA4511,,5048884,5049639,-,hypothetical protein,Function unknown,Q9HVR0,
PA4512,lpxO1,,5049769,5050668,+,lipopolysaccharide biosynthetic protein LpxO,"Post-translational modification, protein turnover,and chaperones",Q9HVQ9,
PA4513,PA4513,,5050848,5053400,-,oxidoreductase,Inorganic ion transport and metabolism,Q9HVQ8,
PA4514,PA4514,,5053616,5055877,-,iron transport outer membrane receptor,Inorganic ion transport and metabolism,G3XCY8,
PA4515,PA4515,,5056095,5056775,+,hydroxylase,Function unknown,Q9HVQ7,
PA4516,PA4516,,5056778,5057593,+,hypothetical protein,Function unknown,Q9HVQ6,
PA4517,PA4517,,5057716,5059518,+,hypothetical protein,Function unknown,Q9HVQ5,
PA4518,PA4518,,5059574,5059999,-,hypothetical protein,Amino acid transport and metabolism,Q9HVQ4,
PA4519,speC,,5060115,5061278,-,ornithine decarboxylase,Amino acid transport and metabolism,Q9HVQ3,
PA4520,PA4520,,5061730,5063751,-,chemotaxis transducer,Cell motility,Q9HVQ2,
PA4521,PA4521,,5063941,5064777,-,hypothetical protein,Defense mechanisms,G3XD69,
PA4522,ampD,,5064774,5065340,-,N-acetyl-anhydromuranmyl-L-alanine amidase,Defense mechanisms,G3XCW9,
PA4523,PA4523,,5065491,5067746,-,hypothetical protein,Function unknown,Q9HVQ1,
PA4524,nadC,,5068032,5068880,+,nicotinate-nucleotide pyrophosphorylase,Coenzyme transport and metabolism,P30819,
PA4525,pilA,,5069082,5069531,-,type 4 fimbrial protein PilA,Cell motility,P04739,
PA4526,pilB,,5069763,5071463,+,type 4 fimbrial biogenesis protein PilB,Cell motility,P22608,
PA4528,pilD,,5072695,5073567,+,type 4 prepilin peptidase PilD,Cell motility,P22610,
PA4529,coaE,,5073564,5074175,+,dephospho-CoA kinase,Coenzyme transport and metabolism,Q9HVP8,
PA4530,PA4530,,5074172,5074372,+,zinc-binding protein,Function unknown,Q9HVP7,
PA4531,PA4531,,5074409,5074618,-,hypothetical protein,Function unknown,Q9HVP6,
PA4532,PA4532,,5074724,5075413,-,hypothetical protein,Function unknown,Q9HVP5,
PA4533,PA4533,,5075410,5075880,-,hypothetical protein,No COG annotation,Q9HVP4,
PA4534,PA4534,,5075877,5076302,-,hypothetical protein,Transcription,Q9HVP3,
PA4535,PA4535,,5076435,5077064,+,hypothetical protein,Function unknown,Q9HVP2,
PA4536,PA4536,,5077061,5077510,+,hypothetical protein,Function unknown,Q9HVP1,
PA4537,PA4537,,5077536,5077706,+,hypothetical protein,Function unknown,Q9HVP0,
PA4538,ndh,,5077770,5079077,+,NADH dehydrogenase,Energy production and conversion,Q9HVN9,
PA4539,PA4539,,5079117,5080208,-,hypothetical protein,Function unknown,Q9HVN8,
PA4540,PA4540,,5080757,5082394,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HVN7,
PA4541,PA4541,,5082443,5086696,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HVN6,
PA4542,clpB,,5087408,5089972,-,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",Q9HVN5,
PA4543,PA4543,,5090128,5090856,-,hypothetical protein,Function unknown,P33663,
PA4544,rluD,,5090853,5091815,-,pseudouridine synthase,"Translation, ribosomal structure and biogenesis",P33640,
PA4545,comL,,5091961,5092986,+,competence protein ComL,Cell wall/membrane/envelope biogenesis,P33641,
PA4546,pilS,,5093378,5094970,+,two-component sensor PilS,Signal transduction mechanisms,P33639,
PA4547,pilR,,5094985,5096322,+,two-component response regulator PilR,Signal transduction mechanisms,Q00934,
PA4548,PA4548,,5096368,5097462,-,D-amino acid oxidase,Amino acid transport and metabolism,P33642,
PA4549,fimT,,5097597,5098106,+,type 4 fimbrial biogenesis protein FimT,Cell motility,Q9HVN0,
PA4550,fimU,,5098212,5098718,+,type 4 fimbrial biogenesis protein FimU,Cell motility,G3XCZ0,"PA1226,AlgR"
PA4551,pilV,,5098709,5099266,+,type 4 fimbrial biogenesis protein PilV,Cell motility,G3XD84,"PA1226,AlgR"
PA4552,pilW,,5099263,5100087,+,type 4 fimbrial biogenesis protein PilW,Cell motility,G3XD15,"PA1226,AlgR"
PA4553,pilX,,5100084,5100671,+,type 4 fimbrial biogenesis protein PilX,Cell motility,Q9HVM9,"PA1226,AlgR"
PA4554,pilY1,,5100683,5104168,+,type 4 fimbrial biogenesis protein PilY1,Cell motility,Q9HVM8,"PA1226,AlgR"
PA4555,pilY2,,5104170,5104517,+,type 4 fimbrial biogenesis protein PilY2,Function unknown,G3XD55,"PA1226,AlgR"
PA4556,pilE,,5104514,5104939,+,type 4 fimbrial biogenesis protein PilE,Cell motility,G3XD43,PA1226
PA4557,lytB,,5104986,5105930,-,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,Q9HVM7,
PA4558,PA4558,,5106016,5106456,-,FkbP-type peptidyl-prolyl cis-trans isomerase,Carbohydrate transport and metabolism,Q9HVM6,
PA4559,lspA,,5106449,5106958,-,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,Q9HVM5,
PA4560,ileS,,5106951,5109782,-,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q9HVM4,
PA4561,ribF,,5109806,5110744,-,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,Q9HVM3,
PA4562,PA4562,,5110841,5112379,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HVM2,
PA4563,rpsT,,5112663,5112938,+,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",Q9HVM1,
PA4564,PA4564,,5113005,5113469,-,hypothetical protein,Function unknown,Q9HVM0,
PA4565,proB,,5113481,5114599,-,gamma-glutamyl kinase,Amino acid transport and metabolism,Q9HVL9,
PA4566,obg,,5114670,5115890,-,GTPase ObgE,Function unknown,Q9HVL8,
PA4567,rpmA,,5116032,5116289,-,50S ribosomal protein L27,"Translation, ribosomal structure and biogenesis",Q9HVL7,
PA4568,rplU,,5116313,5116624,-,50S ribosomal protein L21,"Translation, ribosomal structure and biogenesis",Q9HVL6,
PA4569,ispB,,5116865,5117833,+,octaprenyl-diphosphate synthase,Coenzyme transport and metabolism,Q9HVL5,
PA4570,PA4570,,5117971,5118195,+,hypothetical protein,No COG annotation,Q9HVL4,
PA4571,PA4571,,5118538,5120565,+,cytochrome C,Energy production and conversion,Q9HVL3,
PA4572,fklB,,5120635,5121252,-,peptidyl-prolyl cis-trans isomerase FklB,Carbohydrate transport and metabolism,Q9HVL2,
PA4573,PA4573,,5121337,5121642,-,hypothetical protein,Function unknown,Q9HVL1,
PA4574,PA4574,,5121899,5122387,-,hypothetical protein,Function unknown,Q9HVL0,
PA4575,PA4575,,5122561,5122902,-,hypothetical protein,No COG annotation,Q9HVK9,
PA4576,PA4576,,5123053,5125506,-,ATP-dependent protease,"Post-translational modification, protein turnover,and chaperones",Q9HVK8,
PA4577,PA4577,,5125605,5125931,-,hypothetical protein,Signal transduction mechanisms,Q9HVK7,
PA4578,PA4578,,5126166,5126654,+,hypothetical protein,Function unknown,Q9HVK6,
PA4579,PA4579,,5126713,5128569,+,hypothetical protein,Function unknown,Q9HVK5,
PA4580,PA4580,,5128563,5129117,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HVK4,
PA4581,rtcR,,5129173,5130768,-,transcriptional regulator RtcR,Transcription,Q9HVK3,
PA4582,PA4582,,5131428,5132573,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HVK2,
PA4583,PA4583,,5132629,5133843,+,hypothetical protein,Function unknown,Q9HVK1,
PA4584,PA4584,,5133880,5134692,+,hypothetical protein,Function unknown,Q9HVK0,
PA4585,rtcA,,5134689,5135714,+,RNA 3'-terminal-phosphate cyclase,RNA processing and modification,Q9HVJ9,
PA4586,PA4586,,5135816,5136193,+,hypothetical protein,No COG annotation,Q9HVJ8,
PA4587,ccpR,,5136317,5137357,+,cytochrome C551 peroxidase,Energy production and conversion,P14532,
PA4588,gdhA,,5137417,5138754,-,glutamate dehydrogenase,Amino acid transport and metabolism,Q9HVJ7,ArgR
PA4589,PA4589,,5139050,5140441,-,hypothetical protein,Lipid transport and metabolism,Q9HVJ6,
PA4590,pra,,5140701,5141189,-,protein activator,No COG annotation,G3XDA9,
PA4591,PA4591,,5141786,5143063,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HVJ5,
PA4592,PA4592,,5143053,5144534,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HVJ4,
PA4593,PA4593,,5144527,5145720,-,ABC transporter permease,Defense mechanisms,Q9HVJ3,
PA4594,PA4594,,5145717,5146403,-,ABC transporter ATP-binding protein,Defense mechanisms,Q9HVJ2,
PA4595,PA4595,,5146907,5148571,-,ABC transporter ATP-binding protein,Function unknown,Q9HVJ1,
PA4596,esrC,,5149064,5149582,+,transcriptional regulator,Transcription,Q9HVJ0,
PA4597,oprJ,,5149633,5151072,-,multidrug efflux outer membrane protein OprJ,Cell wall/membrane/envelope biogenesis,Q51397,"EsrC,NfxB"
PA4598,mexD,,5151078,5154209,-,resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,"Intracellular trafficking, secretion, and vesicular transport",Q9HVI9,"EsrC,NfxB"
PA4599,mexC,,5154237,5155400,-,resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC,Cell wall/membrane/envelope biogenesis,G3XD25,"EsrC,NfxB"
PA4600,nfxB,,5155561,5156124,+,transcriptional regulator NfxB,Transcription,P32265,
PA4601,morA,,5156368,5160615,+,motility regulator,Signal transduction mechanisms,Q9HVI8,
PA4602,glyA3,,5160738,5161991,+,serine hydroxymethyltransferase,Amino acid transport and metabolism,Q9HVI7,
PA4603,PA4603,,5162069,5162449,-,hypothetical protein,No COG annotation,Q9HVI6,
PA4604,PA4604,,5162472,5163476,-,hypothetical protein,Function unknown,Q9HVI5,
PA4605,PA4605,,5163536,5163739,-,hypothetical protein,Function unknown,Q9HVI4,
PA4606,PA4606,,5163788,5165854,-,hypothetical protein,Signal transduction mechanisms,Q9HVI3,
PA4607,PA4607,,5166191,5166697,-,hypothetical protein,Function unknown,Q9HVI2,
PA4608,PA4608,,5166900,5167277,+,hypothetical protein,Function unknown,Q9HVI1,
PA4609,radA,,5167284,5168645,-,DNA repair protein RadA,"Post-translational modification, protein turnover,and chaperones",P96963,
PA4610,PA4610,,5168755,5169189,+,hypothetical protein,Function unknown,Q9HVI0,
PA4611,PA4611,,5169251,5169505,-,hypothetical protein,Function unknown,Q9HVH9,
PA4612,PA4612,,5169580,5170131,-,hypothetical protein,Function unknown,G3XD34,
PA4613,katB,,5170185,5171726,-,catalase,Energy production and conversion,Q59635,
PA4614,mscL,,5172253,5172666,+,large-conductance mechanosensitive channel,Cell wall/membrane/envelope biogenesis,Q9HVH7,
PA4615,PA4615,,5172771,5173547,-,oxidoreductase,Energy production and conversion,Q9HVH6,
PA4616,PA4616,,5173654,5174652,-,C4-dicarboxylate-binding protein,Carbohydrate transport and metabolism,Q9HVH5,
PA4617,PA4617,,5174980,5176104,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9HVH4,
PA4618,PA4618,,5176680,5177651,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HVH3,
PA4619,PA4619,,5177655,5178902,-,cytochrome C,Energy production and conversion,Q9HVH2,
PA4620,PA4620,,5178905,5179444,-,hypothetical protein,Energy production and conversion,Q9HVH1,
PA4621,PA4621,,5179437,5182268,-,oxidoreductase,Energy production and conversion,Q9HVH0,
PA4622,PA4622,,5182579,5183790,+,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HVG9,
PA4623,PA4623,,5183950,5184339,-,hypothetical protein,No COG annotation,Q9HVG8,
PA4624,PA4624,,5184642,5186348,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HVG7,
PA4625,PA4625,,5186411,5192875,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HVG6,
PA4626,hprA,,5193196,5194167,+,glycerate dehydrogenase,Energy production and conversion,Q9HVG5,
PA4627,PA4627,,5194277,5195275,+,16S rRNA methyltransferase,"Translation, ribosomal structure and biogenesis",Q9HVG4,
PA4628,lysP,,5195370,5196833,+,lysine-specific permease,Amino acid transport and metabolism,Q9HVG3,
PA4629,PA4629,,5197186,5197764,+,hypothetical protein,Function unknown,Q9HVG2,yybP-ykoY
PA4630,PA4630,,5197881,5198324,+,hypothetical protein,Function unknown,Q9HVG1,
PA4631,PA4631,,5198334,5199359,-,hypothetical protein,Carbohydrate transport and metabolism,Q9HVG0,
PA4632,PA4632,,5199503,5200324,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HVF9,
PA4633,PA4633,,5200487,5202625,+,chemotaxis transducer,Cell motility,Q9HVF8,
PA4634,PA4634,,5202628,5203242,-,hypothetical protein,Function unknown,Q9HVF7,
PA4635,PA4635,,5203668,5204372,+,hypothetical protein,Function unknown,Q9HVF6,
PA4635a,PA4635a,,5204385,5204648,-,hypothetical protein,Function unknown,UPI000039643E,
PA4636a,PA4636a,,5204648,5204830,-,hypothetical protein,Function unknown,UPI000039643F,
PA4636,PA4636,,5204928,5206088,+,hypothetical protein,Lipid transport and metabolism,Q9HVF5,
PA4637,PA4637,,5206209,5206487,-,hypothetical protein,No COG annotation,Q9HVF4,
PA4637a,PA4637a,,5206720,5207007,-,hypothetical protein,No COG annotation,Q9HVF3,
PA4639,PA4639,,5207035,5207622,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HVF2,
PA4640,mqoB,,5208464,5209987,+,malate:quinone oxidoreductase,Energy production and conversion,Q9HVF1,
PA4642,PA4642,,5210706,5210996,-,hypothetical protein,Function unknown,Q9HVF0,
PA4643,PA4643,,5211079,5211564,-,hypothetical protein,No COG annotation,Q9HVE9,
PA4644,PA4644,,5211632,5212105,-,hypothetical protein,Function unknown,Q9HVE8,
PA4645,PA4645,,5212107,5212664,-,hypoxanthine-guanine phosphoribosyltransferase,Nucleotide transport and metabolism,Q9HVE7,
PA4646,upp,,5212833,5213471,+,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,Q9HVE6,
PA4647,uraA,,5213474,5214757,+,uracil permease,Nucleotide transport and metabolism,Q9HVE5,
PA4648,PA4648,,5215091,5215639,+,hypothetical protein,Function unknown,Q9HVE4,
PA4649,PA4649,,5215670,5216203,+,hypothetical protein,Function unknown,Q9HVE3,
PA4650,PA4650,,5216203,5216745,+,hypothetical protein,Function unknown,Q9HVE2,
PA4651,PA4651,,5216764,5217552,+,pili assembly chaperone,Cell wall/membrane/envelope biogenesis,Q9HVE1,
PA4652,PA4652,,5217569,5219941,+,hypothetical protein,Cell motility,Q9HVE0,
PA4653,PA4653,,5219938,5220885,+,hypothetical protein,Function unknown,Q9HVD9,
PA4654,PA4654,,5220887,5222260,-,major facilitator superfamily transporter,Carbohydrate transport and metabolism,Q9HVD8,
PA4655,hemH,,5222540,5223562,-,ferrochelatase,Coenzyme transport and metabolism,Q9HVD7,
PA4656,PA4656,,5223559,5224476,-,hypothetical protein,Function unknown,Q9HVD6,
PA4657,PA4657,,5224890,5225873,+,hypothetical protein,Function unknown,Q9HVD5,PhrR
PA4658,PA4658,,5226026,5226982,+,hypothetical protein,Function unknown,Q9HVD4,PhrR
PA4659,PA4659,,5226992,5227891,+,transcriptional regulator,Transcription,Q9HVD3,PhrR
PA4660,phr,,5227888,5229333,+,deoxyribodipyrimidine photolyase,"Replication, recombination and repair",Q9HVD2,PhrR
PA4661,pagL,,5229459,5229980,-,lipid A 3-O-deacylase,Cell wall/membrane/envelope biogenesis,Q9HVD1,
PA4662,murI,,5230114,5230911,-,glutamate racemase,Cell wall/membrane/envelope biogenesis,Q9HVD0,
PA4663,moeB,,5230901,5231659,-,molybdopterin biosynthesis protein MoeB,Coenzyme transport and metabolism,Q9HVC9,
PA4664,hemK,,5231653,5232483,-,methyl transferase,"Translation, ribosomal structure and biogenesis",Q9HVC8,
PA4665,prfA,,5232485,5233567,-,peptide chain release factor 1,"Translation, ribosomal structure and biogenesis",P42806,
PA4666,hemA,,5233585,5234853,-,glutamyl-tRNA reductase,Coenzyme transport and metabolism,P42807,
PA4667,PA4667,,5234997,5236769,+,hypothetical protein,Function unknown,P42810,
PA4668,PA4668,,5236774,5237391,+,molecular chaperone LolB,Cell wall/membrane/envelope biogenesis,P42812,
PA4669,ipk,,5237393,5238241,+,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,Nucleotide transport and metabolism,P42805,
PA4670,prs,,5238408,5239349,+,ribose-phosphate pyrophosphokinase,Nucleotide transport and metabolism,Q9HVC5,
PA4671,PA4671,,5239466,5240080,+,50S ribosomal protein L25/general stress protein Ctc,"Translation, ribosomal structure and biogenesis",Q9HVC4,
PA4672,PA4672,,5240122,5240706,+,peptidyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",Q9HVC3,
PA4673,PA4673,,5240747,5241847,+,GTP-dependent nucleic acid-binding protein EngD,"Translation, ribosomal structure and biogenesis",Q9HVC2,
PA4674,PA4674,,5242254,5242559,-,hypothetical protein,Transcription,Q9HVC1,
PA4675,PA4675,,5243178,5245406,+,TonB-dependent receptor,Coenzyme transport and metabolism,Q9HVC0,
PA4676,PA4676,,5245476,5246123,-,carbonic anhydrase,Inorganic ion transport and metabolism,Q9HVB9,
PA4677,PA4677,,5246185,5247423,-,hypothetical protein,Amino acid transport and metabolism,Q9HVB8,
PA4678,rimI,,5247622,5248074,-,peptide n-acetyltransferase RimI,Transcription,Q9HVB7,
PA4679,PA4679,,5248071,5248772,-,hypothetical protein,Function unknown,Q9HVB6,
PA4680,PA4680,,5249032,5249568,-,hypothetical protein,No COG annotation,Q9HVB5,
PA4681,PA4681,,5249599,5250618,-,hypothetical protein,No COG annotation,Q9HVB4,
PA4682,PA4682,,5250620,5251666,-,hypothetical protein,No COG annotation,Q9HVB3,
PA4683,PA4683,,5251871,5252473,-,hypothetical protein,No COG annotation,Q9HVB2,
PA4684,PA4684,,5252758,5254056,+,hypothetical protein,No COG annotation,Q9HVB1,
PA4685,PA4685,,5254046,5254741,+,hypothetical protein,Function unknown,Q9HVB0,
PA4686,PA4686,,5254738,5257584,+,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q9HVA9,
PA4687,hitA,,5257696,5258703,+,ferric iron-binding periplasmic protein HitA,Inorganic ion transport and metabolism,Q9HVA8,
PA4688,hitB,,5258724,5260262,+,iron (III)-transporter permease HitB,Inorganic ion transport and metabolism,Q9HVA7,
PA4689,PA4689,,5260343,5262649,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9HVA6,
PA4690,PA4690,,5262642,5263262,-,hypothetical protein,Function unknown,UPI00006D8B5E,
PA4690a,PA4690a,,5263249,5263956,-,paraquat-inducible protein A,Function unknown,UPI0003BBF750,
PA4691,PA4691,,5269803,5270411,-,sulfite oxidase subunit YedZ,Energy production and conversion,Q9HVA5,
PA4692,PA4692,,5270411,5271424,-,sulfite oxidase subunit YedY,Energy production and conversion,Q9HVA4,
PA4693,pssA,,5271485,5272300,-,phosphatidylserine synthase,Lipid transport and metabolism,Q9HVA3,
PA4694,ilvC,,5272455,5273471,-,ketol-acid reductoisomerase,Amino acid transport and metabolism,Q9HVA2,
PA4695,ilvH,,5273514,5274005,-,acetolactate synthase small subunit,Amino acid transport and metabolism,Q9HVA1,
PA4696,ilvI,,5274008,5275732,-,acetolactate synthase 3 catalytic subunit,Coenzyme transport and metabolism,Q9HVA0,
PA4697,PA4697,,5276283,5276735,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HV99,
PA4698,PA4698,,5276843,5277172,-,hypothetical protein,Function unknown,Q9HV98,
PA4699,PA4699,,5277172,5277951,-,hypothetical protein,Coenzyme transport and metabolism,Q9HV97,
PA4700,mrcB,,5277968,5280292,-,penicillin-binding protein 1B,Cell wall/membrane/envelope biogenesis,G3XD31,
PA4701,PA4701,,5280505,5282067,+,hypothetical protein,Function unknown,Q9HV96,
PA4702,PA4702,,5282159,5282506,+,hypothetical protein,Function unknown,Q9HV95,
PA4703,PA4703,,5282732,5283004,+,hypothetical protein,Transcription,Q9HV94,
PA4704,cbpA,,5283109,5283906,+,cAMP-binding protein A,Signal transduction mechanisms,Q9HV93,
PA4705,PA4705,,5284370,5285257,-,hypothetical protein,Function unknown,Q9HV92,
PA4706,PA4706,,5285268,5286035,-,hemin importer ATP-binding subunit,Inorganic ion transport and metabolism,O68877,
PA4707,PA4707,,5286035,5287018,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9HV91,
PA4708,phuT,,5287069,5287962,-,heme-transporter PhuT,Inorganic ion transport and metabolism,Q9HV90,
PA4709,PA4709,,5287972,5289036,-,hemin degrading factor,Inorganic ion transport and metabolism,Q9HV89,
PA4710,phuR,,5289217,5291511,+,heme/hemoglobin uptake outer membrane receptor PhuR,Inorganic ion transport and metabolism,Q9HV88,
PA4711,PA4711,,5291614,5291961,+,hypothetical protein,Inorganic ion transport and metabolism,Q9HV87,
PA4712,PA4712,,5292042,5292554,+,hypothetical protein,Function unknown,Q9HV86,
PA4713,PA4713,,5292558,5293007,-,hypothetical protein,Function unknown,Q9HV85,
PA4714,PA4714,,5293257,5293706,+,hypothetical protein,Function unknown,Q9HV84,
PA4715,PA4715,,5293765,5295000,-,aminotransferase,Amino acid transport and metabolism,Q9HV83,
PA4716,PA4716,,5295170,5296024,+,hypothetical protein,Function unknown,Q9HV82,
PA4717,PA4717,,5296092,5296985,+,hypothetical protein,Function unknown,Q9HV81,
PA4718,PA4718,,5297007,5297483,-,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9HV80,
PA4719,PA4719,,5297897,5299192,+,transporter,Function unknown,Q9HV79,
PA4720,trmA,,5299189,5300280,+,tRNA (uracil-5-)-methyltransferase,"Translation, ribosomal structure and biogenesis",Q9HV78,
PA4721,PA4721,,5300314,5301021,-,sugar fermentation stimulation protein A,Function unknown,Q9HV77,
PA4722,PA4722,,5301021,5302193,-,hypothetical protein,Amino acid transport and metabolism,Q9HV76,
PA4723,dksA,,5302386,5302832,+,suppressor protein DksA,Signal transduction mechanisms,G3XD14,
PA4724,PA4724,,5302900,5303781,+,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",Q9HV75,
PA4724.1,PA4724.1,,5303851,5304027,+,hypothetical protein,Function unknown,E1JGJ9,
PA4725,cbrA,,5304011,5306962,+,two-component sensor CbrA,Signal transduction mechanisms,G3XCM7,
PA4726,cbrB,,5306989,5308425,+,two-component response regulator CbrB,Signal transduction mechanisms,G3XCK7,
